title,authors,description,average_rating,published_date,categories
The Lincoln Highway,Amor Towles,"#1 NEW YORK TIMES BESTSELLER More than ONE MILLION copies sold A TODAY Show Read with Jenna Book Club Pick A New York Times Notable Book, and Chosen by Oprah Daily, Time, NPR, The Washington Post, Bill Gates and Barack Obama as a Best Book of the Year “Wise and wildly entertaining . . . permeated with light, wit, youth.” —The New York Times Book Review “A classic that we will read for years to come.” —Jenna Bush Hager, Read with Jenna book club “Fantastic. Set in 1954, Towles uses the story of two brothers to show that our personal journeys are never as linear or predictable as we might hope.” —Bill Gates “A real joyride . . . elegantly constructed and compulsively readable.” —NPR The bestselling author of A Gentleman in Moscow and Rules of Civility and master of absorbing, sophisticated fiction returns with a stylish and propulsive novel set in 1950s America In June, 1954, eighteen-year-old Emmett Watson is driven home to Nebraska by the warden of the juvenile work farm where he has just served fifteen months for involuntary manslaughter. His mother long gone, his father recently deceased, and the family farm foreclosed upon by the bank, Emmett's intention is to pick up his eight-year-old brother, Billy, and head to California where they can start their lives anew. But when the warden drives away, Emmett discovers that two friends from the work farm have hidden themselves in the trunk of the warden's car. Together, they have hatched an altogether different plan for Emmett's future, one that will take them all on a fateful journey in the opposite direction—to the City of New York. Spanning just ten days and told from multiple points of view, Towles's third novel will satisfy fans of his multi-layered literary styling while providing them an array of new and richly imagined settings, characters, and themes. “Once again, I was wowed by Towles’s writing—especially because The Lincoln Highway is so different from A Gentleman in Moscow in terms of setting, plot, and themes. Towles is not a one-trick pony. Like all the best storytellers, he has range. He takes inspiration from famous hero’s journeys, including The Iliad, The Odyssey, Hamlet, Huckleberry Finn, and Of Mice and Men. He seems to be saying that our personal journeys are never as linear or predictable as an interstate highway. But, he suggests, when something (or someone) tries to steer us off course, it is possible to take the wheel.” – Bill Gates",Note non disponible,2021-10-05,Fiction
Go Tell the Bees That I Am Gone,Diana Gabaldon,"#1 NEW YORK TIMES BESTSELLER • Diana Gabaldon returns with the “vast and sweeping” (The Washington Post) new novel in the epic Outlander series. War leaves nobody alone. Neither the past, the present, nor the future offers true safety, and the only refuge is what you can protect: your family, your friends, your home. Jamie Fraser and Claire Randall were torn apart by the Jacobite Rising in 1746, and it took them twenty years of loss and heartbreak to find each other again. Now it’s 1779, and Claire and Jamie are finally reunited with their daughter, Brianna, her husband, Roger, and their children, and are rebuilding their home on Fraser’s Ridge—a fortress that may shelter them against the winds of war as well as weather. But tensions in the Colonies are great: Battles rage from New York to Georgia and, even in the mountains of the backcountry, feelings run hot enough to boil Hell’s teakettle. Jamie knows that loyalties among his tenants are split and it won’t be long before the war is on his doorstep. Brianna and Roger have their own worry: that the dangers that provoked their escape from the twentieth century might catch up to them. Sometimes they question whether risking the perils of the 1700s—among them disease, starvation, and an impending war—was indeed the safer choice for their family. Not so far away, young William Ransom is coming to terms with the mysteries of his identity, his future, and the family he’s never known. His erstwhile father, Lord John Grey, has reconciliations to make and dangers to meet on his son’s behalf and on his own, and far to the north, Young Ian Murray fights his own battle between past and future, and the two women he’s loved. Meanwhile, the Revolutionary War creeps ever closer to Fraser’s Ridge. Jamie sharpens his sword, while Claire whets her surgeon’s blade: It is a time for steel.",Note non disponible,2021-11-23,Fiction
Wish You Were Here,Jodi Picoult,"#1 NEW YORK TIMES BESTSELLER • From the author of Small Great Things and The Book of Two Ways comes “a powerfully evocative story of resilience and the triumph of the human spirit” (Taylor Jenkins Reid, author of The Seven Husbands of Evelyn Hugo and Daisy Jones & The Six) Rights sold to Netflix for adaptation as a feature film • Named one of the best books of the year by She Reads Diana O’Toole is perfectly on track. She will be married by thirty, done having kids by thirty-five, and move out to the New York City suburbs, all while climbing the professional ladder in the cutthroat art auction world. She’s an associate specialist at Sotheby’s now, but her boss has hinted at a promotion if she can close a deal with a high-profile client. She’s not engaged just yet, but she knows her boyfriend, Finn, a surgical resident, is about to propose on their romantic getaway to the Galápagos—days before her thirtieth birthday. Right on time. But then a virus that felt worlds away has appeared in the city, and on the eve of their departure, Finn breaks the news: It’s all hands on deck at the hospital. He has to stay behind. You should still go, he assures her, since it would be a shame for all of their nonrefundable trip to go to waste. And so, reluctantly, she goes. Almost immediately, Diana’s dream vacation goes awry. Her luggage is lost, the Wi-Fi is nearly nonexistent, and the hotel they’d booked is shut down due to the pandemic. In fact, the whole island is now under quarantine, and she is stranded until the borders reopen. Completely isolated, she must venture beyond her comfort zone. Slowly, she carves out a connection with a local family when a teenager with a secret opens up to Diana, despite her father’s suspicion of outsiders. In the Galápagos Islands, where Darwin’s theory of evolution by natural selection was formed, Diana finds herself examining her relationships, her choices, and herself—and wondering if when she goes home, she too will have evolved into someone completely different.",3,2021-11-30,Fiction
Cloud Cuckoo Land (Large Print Edition),Anthony Doerr,"Follows four young dreamers and outcasts through time and space, from 1453 Constantinople to the future, as they discover resourcefulness and hope amidst peril.",Note non disponible,2021-09-28,Fiction
Fear No Evil,James Patterson,"Alex Cross enters the final showdown with the relentless killer who has stalked him and his family for years.​ Dr. Alex Cross and Detective John Sampson venture into the rugged Montana wilderness--where they will be the prey. They're not on the job, but on a personal mission. Until they're attacked by two rival teams of assassins, controlled by the same mastermind who has stalked Alex and his family for years. Darkness falls. The river churns into rapids. Shots ring out through the forest. No backup. No way out. Fear no evil.",Note non disponible,2021-11-22,Catégorie non disponible
The Midnight Library,Matt Haig,"""Good morning America book club""--Jacket.",Note non disponible,2021-01-27,Catégorie non disponible
Billy Summers,Stephen King,"Billy Summers é uma história de guerra, amor, sorte e destino, com um herói complexo buscando sua última chance de redenção. Impossível de largar e impossível de esquecer. Billy Summers é o homem com a arma; um assassino de aluguel e um dos melhores atiradores do mundo. Mas ele tem um critério: só aceita o serviço se o alvo for realmente uma pessoa ruim. Agora, Billy quer se aposentar, mas antes precisa realizar um último trabalho. Veterano da guerra no Iraque e um mágico quando se trata de desaparecer depois do crime, o hábil assassino tinha tudo planejado. Então, o que poderia dar errado? Basicamente tudo. Quando Billy se acomoda em uma cidadezinha do interior, disfarçado como um escritor tentando superar um bloqueio criativo enquanto espera seu alvo ser transferido para julgamento, ele não imagina a trama de traições, perseguições e vingança que o aguarda. ""Ver o mestre do terror se aventurando em um thriller noir apenas prova que King ainda consegue nos chocar e surpreender, depois de todas essas décadas."" — Esquire ""Stephen King deixa um pouco o terror, que é sua marca registrada, e mergulha em um thriller tenso e obscuro. Assassinatos vis e confusões divertidíssimas. Outro livro imperdível do mestre."" — Kirkus Reviews",Note non disponible,2021-09-29,Fiction
Mercy,David Baldacci,"Special Agent Atlee Pine’s quest to find her missing sister reaches an explosive climax in Mercy, the gripping follow up to Long Road to Mercy and Daylight, from one of the world’s most favourite thriller writers, David Baldacci. The hunt is finally over. FBI agent Atlee Pine is at the end of her long journey to discover what happened to her twin sister, Mercy, who was abducted when the girls were just six years old – an incident which destroyed her family and left Atlee physically and mentally scarred. She knew her sister and parents were out there somewhere. And she had to find them. Dead or alive. Atlee and her assistant, Carol Blum, discover the truth. But the truth hurts. And hurt makes you tough. So how tough do you have to be to forgive? As they uncover a shocking trail of lies, greed, fear and revenge, they must face one final challenge. A challenge more deadly and dangerous than they could ever have imagined . . .",Note non disponible,2021-11-25,Fiction
Project Hail Mary,Andy Weir,"#1 NEW YORK TIMES BESTSELLER • From the author of The Martian, a lone astronaut must save the earth from disaster in this “propulsive” (Entertainment Weekly), cinematic thriller full of suspense, humor, and fascinating science—in development as a major motion picture starring Ryan Gosling. HUGO AWARD FINALIST • ONE OF THE YEAR’S BEST BOOKS: Bill Gates, GatesNotes, New York Public Library, Parade, Newsweek, Polygon, Shelf Awareness, She Reads, Kirkus Reviews, Library Journal • “An epic story of redemption, discovery and cool speculative sci-fi.”—USA Today “If you loved The Martian, you’ll go crazy for Weir’s latest.”—The Washington Post Ryland Grace is the sole survivor on a desperate, last-chance mission—and if he fails, humanity and the earth itself will perish. Except that right now, he doesn’t know that. He can’t even remember his own name, let alone the nature of his assignment or how to complete it. All he knows is that he’s been asleep for a very, very long time. And he’s just been awakened to find himself millions of miles from home, with nothing but two corpses for company. His crewmates dead, his memories fuzzily returning, Ryland realizes that an impossible task now confronts him. Hurtling through space on this tiny ship, it’s up to him to puzzle out an impossible scientific mystery—and conquer an extinction-level threat to our species. And with the clock ticking down and the nearest human being light-years away, he’s got to do it all alone. Or does he? An irresistible interstellar adventure as only Andy Weir could deliver, Project Hail Mary is a tale of discovery, speculation, and survival to rival The Martian—while taking us to places it never dreamed of going.",5,2021-05-04,Fiction
The Storyteller,Dave Grohl,"THE SUNDAY TIMES NO 1 BESTSELLER * ONE OF NME's BEST MUSIC BOOKS OF 2021 * ONE OF VARIETY'S BEST MUSIC BOOKS OF 2021 * INCLUDED IN AUDIBLE'S BEST OF THE YEAR LIST So, I’ve written a book. Having entertained the idea for years, and even offered a few questionable opportunities (‘It’s a piece of cake! Just do four hours of interviews, find someone else to write it, put your face on the cover, and voila!’), I have decided to write these stories just as I have always done, in my own hand. The joy that I have felt from chronicling these tales is not unlike listening back to a song that I’ve recorded and can’t wait to share with the world, or reading a primitive journal entry from a stained notebook, or even hearing my voice bounce between the Kiss posters on my wall as a child. This certainly doesn’t mean that I’m quitting my day job, but it does give me a place to shed a little light on what it’s like to be a kid from Springfield, Virginia, walking through life while living out the crazy dreams I had as young musician. From hitting the road with Scream at 18 years old, to my time in Nirvana and the Foo Fighters, jamming with Iggy Pop or playing at the Academy Awards or dancing with AC/DC and the Preservation Hall Jazz Band, drumming for Tom Petty or meeting Sir Paul McCartney at Royal Albert Hall, bedtime stories with Joan Jett or a chance meeting with Little Richard, to flying halfway around the world for one epic night with my daughters…the list goes on. I look forward to focusing the lens through which I see these memories a little sharper for you with much excitement.",Note non disponible,2021-10-05,Biography & Autobiography
Taste,Stanley Tucci,"""From award-winning actor and food obsessive Stanley Tucci comes an intimate ... memoir of life in and out of the kitchen""--",4,2021-10-05,Biography & Autobiography
All American Christmas,"Rachel Campos-Duffy, Sean Duffy","A #1 NEW YORK TIMES BESTSELLER! Pull up a chair, pour some eggnog, and enjoy the Christmas spirit with friends… From the wind-swept, snowy ranges of Wyoming to Florida beaches glowing with Christmas lights, All American Christmas traces holiday traditions across the United States. In this beautiful personal keepsake, Rachel Campos-Duffy and Sean Duffy present a dazzling collection of emotional stories, treasured family photographs, and homegrown Christmas recipes from some of Fox News’ most beloved personalities. Dana Perino takes readers out west to the cattle ranch where she celebrated Christmas with real life “Marlboro Men”—her uncles and grandfather. Maria Bartiromo reflects on growing up in Brooklyn and the famously brilliant light displays in her neighborhood. Brit Hume looks back at the day he and a friend rushed onto the Washington Senators’ field—and how his parents later warned him that he was now on Santa Claus’ naughty list. For Lauren Green, her understanding of Christmas has evolved with her growing faith. Beautifully designed to reflect the color and spirit and sparkle of the season and featuring 16 pages of color photographs, All American Christmas is a gift of love from the Fox News family and is sure to be cherished for seasons to come.",Note non disponible,2021-11-16,Religion
The President and the Freedom Fighter,Brian Kilmeade,"NEW YORK TIMES BESTSELLER The New York Times bestselling author of George Washington's Secret Six and Thomas Jefferson and the Tripoli Pirates turns to two other heroes of the nation: Abraham Lincoln and Frederick Douglass. In The President and the Freedom Fighter, Brian Kilmeade tells the little-known story of how two American heroes moved from strong disagreement to friendship, and in the process changed the entire course of history. Abraham Lincoln was White, born impoverished on a frontier farm. Frederick Douglass was Black, a child of slavery who had risked his life escaping to freedom in the North. Neither man had a formal education, and neither had had an easy path to influence. No one would have expected them to become friends—or to transform the country. But Lincoln and Douglass believed in their nation’s greatness. They were determined to make the grand democratic experiment live up to its ideals. Lincoln’s problem: he knew it was time for slavery to go, but how fast could the country change without being torn apart? And would it be possible to get rid of slavery while keeping America’s Constitution intact? Douglass said no, that the Constitution was irredeemably corrupted by slavery—and he wanted Lincoln to move quickly. Sharing little more than the conviction that slavery was wrong, the two men’s paths eventually converged. Over the course of the Civil War, they’d endure bloodthirsty mobs, feverish conspiracies, devastating losses on the battlefield, and a growing firestorm of unrest that would culminate on the fields of Gettysburg. As he did in George Washington's Secret Six, Kilmeade has transformed this nearly forgotten slice of history into a dramatic story that will keep you turning the pages to find out how these two heroes, through their principles and patience, not only changed each other, but made America truly free for all.",Note non disponible,2021-11-02,History
The Beatles: Get Back. Ediz. illustrata,The Beatles,Description non disponible,Note non disponible,2021,Music
Renegades,"Barack Obama, Bruce Springsteen","THE NEW YORK TIMES BESTSELLER - AND THE GIFT THAT WILL BE ON EVERY BRUCE AND BARACK FAN'S WISH LIST THIS CHRISTMAS! Two long-time friends share an intimate and urgent conversation about life, music and their enduring love of America, with all its challenges and contradictions, in this stunningly-produced expansion of their groundbreaking Higher Ground podcast, featuring more than 350 photographs, exclusive bonus content, and never-before-seen archival material. Renegades: Born in the USA is a candid, revealing, and entertaining dialogue between President Barack Obama and legendary musician Bruce Springsteen that explores everything from their origin stories and career-defining moments to their country's polarized politics and the growing distance between the American Dream and the American reality. Filled with full-colour photographs and rare archival material, it is a compelling and beautifully illustrated portrait of two outsiders-one Black and one white-looking for a way to connect their unconventional searches for meaning, identity, and community with the American story itself. It includes: · Original introductions by President Obama and Bruce Springsteen · Exclusive new material from the Renegades podcast recording sessions · Obama's never-before-seen annotated speeches, including his ""Remarks at the 50th Anniversary of the Selma to Montgomery Marches · Springsteen's handwritten lyrics for songs spanning his 50-year-long career · Rare and exclusive photographs from the authors' personal archives · Historical photographs and documents that provide rich visual context for their conversation. In a recording studio stocked with dozens of guitars, and on at least one Corvette ride, Obama and Springsteen discuss marriage and fatherhood, race and masculinity, the lure of the open road and the call back to home. They also compare notes on their favourite protest songs, the most inspiring American heroes of all time, and more. Along the way, they reveal their passion for-and the occasional toll of-telling a bigger, truer story about America throughout their careers, and explore how their fractured country might begin to find its way back toward unity.",Note non disponible,2021-10-26,Social Science
These Precious Days,Ann Patchett,"'A heartfelt and witty collection of essays on everything from marriage and knitting to the inevitability of death' Guardian, 50 biggest books of autumn 'Profound and clever and funny and wise' Meg Mason, author of Sorrow & Bliss An irresistible collection of essays and memoir from the internationally bestselling, Women's Prize-winning author of The Dutch House Any story that starts will also end.' As a writer, Ann Patchett knows what the outcome of her fiction will be. Life, however, often takes turns we do not see coming. Patchett ponders this as she explores family, friendship, marriage, failure, success, and what it all means. Ranging from the personal – her portrait of the three men she called her fathers; how a chance encounter with Tom Hanks led to one of the most important friendships of her life; how to answer when someone asks why you don't have children – to the sublime – the unexpected influence of Snoopy; the importance of knitting; the pleasure to be found in children's books – each essay transforms the particular into the universal, letting us all see our own worlds anew. Illuminating, penetrating, funny and generous, These Precious Days is joyful time spent in the company of one of our greatest living authors. 'Patchett's essays are both sharp and humane ... like a hugely enjoyable conversation with a particularly brilliant friend' Sadie Jones",Note non disponible,2021-11-23,Biography & Autobiography
The Real Anthony Fauci,Robert F. Kennedy,"Pharma-funded mainstream media has convinced millions of Americans that Dr. Anthony Fauci is a hero. He is anything but. As director of the National Institute of Allergy and Infectious Diseases (NIAID), Dr. Anthony Fauci dispenses $6.1 billion in annual taxpayer-provided funding for scientific research, allowing him to dictate the subject, content, and outcome of scientific health research across the globe. Fauci uses the financial clout at his disposal to wield extraordinary influence over hospitals, universities, journals, and thousands of influential doctors and scientists—whose careers and institutions he has the power to ruin, advance, or reward. During more than a year of painstaking and meticulous research, Robert F. Kennedy Jr. unearthed a shocking story that obliterates media spin on Dr. Fauci . . . and that will alarm every American—Democrat or Republican—who cares about democracy, our Constitution, and the future of our children’s health. The Real Anthony Fauci reveals how “America’s Doctor” launched his career during the early AIDS crisis by partnering with pharmaceutical companies to sabotage safe and effective off-patent therapeutic treatments for AIDS. Fauci orchestrated fraudulent studies, and then pressured US Food and Drug Administration (FDA) regulators into approving a deadly chemotherapy treatment he had good reason to know was worthless against AIDS. Fauci repeatedly violated federal laws to allow his Pharma partners to use impoverished and dark-skinned children as lab rats in deadly experiments with toxic AIDS and cancer chemotherapies. In early 2000, Fauci shook hands with Bill Gates in the library of Gates’ $147 million Seattle mansion, cementing a partnership that would aim to control an increasingly profitable $60 billion global vaccine enterprise with unlimited growth potential. Through funding leverage and carefully cultivated personal relationships with heads of state and leading media and social media institutions, the Pharma-Fauci-Gates alliance exercises dominion over global health policy. The Real Anthony Fauci details how Fauci, Gates, and their cohorts use their control of media outlets, scientific journals, key government and quasi-governmental agencies, global intelligence agencies, and influential scientists and physicians to flood the public with fearful propaganda about COVID-19 virulence and pathogenesis, and to muzzle debate and ruthlessly censor dissent.",5,2021-11-16,Health & Fitness
Crying in H Mart,Michelle Zauner,"One of Barack Obama’s Favorite Books of 2021 The New York Times bestseller from the Grammy-nominated indie rockstar Japanese Breakfast, an unflinching, deeply moving memoir about growing up mixed-race, Korean food, losing her Korean mother, and forging her own identity in the wake of her loss. 'As good as everyone says it is and, yes, it will have you in tears. An essential read for anybody who has lost a loved one, as well as those who haven't' – Marie–Claire In this exquisite story of family, food, grief, and endurance, Michelle Zauner proves herself far more than a dazzling singer, songwriter, and guitarist. With humour and heart, she tells of growing up the only Asian-American kid at her school in Eugene, Oregon; of struggling with her mother’s particular, high expectations of her; of a painful adolescence; of treasured months spent in her grandmother’s tiny apartment in Seoul, where she and her mother would bond, late at night, over heaping plates of food. As she grew up, moving to the east coast for college, finding work in the restaurant industry, performing gigs with her fledgling band – and meeting the man who would become her husband – her Koreanness began to feel ever more distant, even as she found the life she wanted to live. It was her mother’s diagnosis of terminal pancreatic cancer, when Michelle was twenty-five, that forced a reckoning with her identity and brought her to reclaim the gifts of taste, language, and history her mother had given her. Vivacious, lyrical and honest, Michelle Zauner’s voice is as radiantly alive on the page as it is onstage. Rich with intimate anecdotes that will resonate widely, Crying in H Mart is a book to cherish, share, and reread. ‘Possibly the best book I’ve read all year . . . I will be buying copies for friends and family this Christmas.’ – Rukmini Iyer in the Guardian ‘Best Food Books of 2021’ ‘Wonderful . . . The writing about Korean food is gorgeous . . . but as a brilliant kimchi-related metaphor shows, Zauner’s deepest concern is the ferment, and delicacy, of complicated lives.’ – Victoria Segal, Sunday Times, ‘My favourite read of the year’",Note non disponible,2021-05-13,Family & Relationships
The Dawn of Everything,"David Graeber, David Wengrow","INSTANT NEW YORK TIMES BESTSELLER A dramatically new understanding of human history, challenging our most fundamental assumptions about social evolution—from the development of agriculture and cities to the origins of the state, democracy, and inequality—and revealing new possibilities for human emancipation. For generations, our remote ancestors have been cast as primitive and childlike—either free and equal innocents, or thuggish and warlike. Civilization, we are told, could be achieved only by sacrificing those original freedoms or, alternatively, by taming our baser instincts. David Graeber and David Wengrow show how such theories first emerged in the eighteenth century as a conservative reaction to powerful critiques of European society posed by Indigenous observers and intellectuals. Revisiting this encounter has startling implications for how we make sense of human history today, including the origins of farming, property, cities, democracy, slavery, and civilization itself. Drawing on pathbreaking research in archaeology and anthropology, the authors show how history becomes a far more interesting place once we learn to throw off our conceptual shackles and perceive what’s really there. If humans did not spend 95 percent of their evolutionary past in tiny bands of hunter-gatherers, what were they doing all that time? If agriculture, and cities, did not mean a plunge into hierarchy and domination, then what kinds of social and economic organization did they lead to? The answers are often unexpected, and suggest that the course of human history may be less set in stone, and more full of playful, hopeful possibilities, than we tend to assume. The Dawn of Everything fundamentally transforms our understanding of the human past and offers a path toward imagining new forms of freedom, new ways of organizing society. This is a monumental book of formidable intellectual range, animated by curiosity, moral vision, and a faith in the power of direct action. Includes Black-and-White Illustrations",5,2021-11-09,Social Science
The Book of Hope,"Jane Goodall, Douglas Abrams","Probably the question I am asked more often than any other is: Do you honestly believe there is hope for our world? For the future of our children and grandchildren? And I am able to answer truthfully, yes. Book jacket.",Note non disponible,2021-10-19,Biography & Autobiography
Seven Husbands of Evelyn Hugo,Taylor Jenkins Reid,"THE SUNDAY TIMES BESTSELLER AND TIKTOK SENSATION SOON TO BE A NETFLIX FILM 'Riveting, heart-wrenching and full of Old Hollywood glamour' BuzzFeed 'This wildly addictive journey of a reclusive Hollywood starlet and her tumultuous Tinseltown journey comes with unexpected twists and the most satisfying of drama' PopSugar From the author of Daisy Jones & The Six in which a legendary film actress reflects on her relentless rise to the top and the risks she took, the loves she lost, and the long-held secrets the public could never imagine. Aging and reclusive Hollywood movie icon Evelyn Hugo is finally ready to tell the truth about her glamorous and scandalous life. But when she chooses unknown magazine reporter Monique Grant for the job, no one is more astounded than Monique herself. Why her? Why now? Monique is not exactly on top of the world. Her husband has left her, and her professional life is going nowhere. Regardless of why Evelyn has selected her to write her biography, Monique is determined to use this opportunity to jumpstart her career. Summoned to Evelyn’s luxurious apartment, Monique listens in fascination as the actress tells her story. From making her way to Los Angeles in the 1950s to her decision to leave show business in the '80s, and, of course, the seven husbands along the way, Evelyn unspools a tale of ruthless ambition, unexpected friendship, and a great forbidden love. Monique begins to feel a very real connection to the legendary star, but as Evelyn’s story near its conclusion, it becomes clear that her life intersects with Monique’s own in tragic and irreversible ways. The Seven Husbands of Evelyn Hugo is a mesmerizing journey through the splendour of old Hollywood into the harsh realities of the present day as two women struggle with what it means and what it costs to face the truth.",Note non disponible,2021-10-14,Fiction
Verity,Colleen Hoover,"Whose truth is the lie? Stay up all night reading the sensational psychological thriller that has readers obsessed, from the #1 New York Times bestselling author of Too Late and It Ends With Us. #1 New York Times Bestseller · USA Today Bestseller · Globe and Mail Bestseller · Publishers Weekly Bestseller Lowen Ashleigh is a struggling writer on the brink of financial ruin when she accepts the job offer of a lifetime. Jeremy Crawford, husband of bestselling author Verity Crawford, has hired Lowen to complete the remaining books in a successful series his injured wife is unable to finish. Lowen arrives at the Crawford home, ready to sort through years of Verity’s notes and outlines, hoping to find enough material to get her started. What Lowen doesn’t expect to uncover in the chaotic office is an unfinished autobiography Verity never intended for anyone to read. Page after page of bone-chilling admissions, including Verity's recollection of the night her family was forever altered. Lowen decides to keep the manuscript hidden from Jeremy, knowing its contents could devastate the already grieving father. But as Lowen’s feelings for Jeremy begin to intensify, she recognizes all the ways she could benefit if he were to read his wife’s words. After all, no matter how devoted Jeremy is to his injured wife, a truth this horrifying would make it impossible for him to continue loving her.",5,2021-10-05,Fiction
The Love Hypothesis,Ali Hazelwood,"The Instant New York Times Bestseller and TikTok Sensation! As seen on THE VIEW! A BuzzFeed Best Summer Read of 2021 When a fake relationship between scientists meets the irresistible force of attraction, it throws one woman's carefully calculated theories on love into chaos. As a third-year Ph.D. candidate, Olive Smith doesn't believe in lasting romantic relationships--but her best friend does, and that's what got her into this situation. Convincing Anh that Olive is dating and well on her way to a happily ever after was always going to take more than hand-wavy Jedi mind tricks: Scientists require proof. So, like any self-respecting biologist, Olive panics and kisses the first man she sees. That man is none other than Adam Carlsen, a young hotshot professor--and well-known ass. Which is why Olive is positively floored when Stanford's reigning lab tyrant agrees to keep her charade a secret and be her fake boyfriend. But when a big science conference goes haywire, putting Olive's career on the Bunsen burner, Adam surprises her again with his unyielding support and even more unyielding...six-pack abs. Suddenly their little experiment feels dangerously close to combustion. And Olive discovers that the only thing more complicated than a hypothesis on love is putting her own heart under the microscope.",4,2021-09-14,Fiction
People We Meet on Vacation,Emily Henry,"From the #1 New York Times bestselling author of Book Lovers and Beach Read comes a sparkling novel that will leave you with the warm, hazy afterglow usually reserved for the best vacations. Two best friends. Ten summer trips. One last chance to fall in love. Poppy and Alex. Alex and Poppy. They have nothing in common. She’s a wild child; he wears khakis. She has insatiable wanderlust; he prefers to stay home with a book. And somehow, ever since a fateful car share home from college many years ago, they are the very best of friends. For most of the year they live far apart—she’s in New York City, and he’s in their small hometown—but every summer, for a decade, they have taken one glorious week of vacation together. Until two years ago, when they ruined everything. They haven't spoken since. Poppy has everything she should want, but she’s stuck in a rut. When someone asks when she was last truly happy, she knows, without a doubt, it was on that ill-fated, final trip with Alex. And so, she decides to convince her best friend to take one more vacation together—lay everything on the table, make it all right. Miraculously, he agrees. Now she has a week to fix everything. If only she can get around the one big truth that has always stood quietly in the middle of their seemingly perfect relationship. What could possibly go wrong? Named a Most Anticipated Book of 2021 by Newsweek ∙ Oprah Magazine ∙ The Skimm ∙ Marie Claire ∙ Parade ∙ The Wall Street Journal ∙ Chicago Tribune ∙ PopSugar ∙ BookPage ∙ BookBub ∙ Betches ∙ SheReads ∙ Good Housekeeping ∙ BuzzFeed ∙ Business Insider ∙ Real Simple ∙ Frolic ∙ and more!",4,2021-05-11,Fiction
"SUMMARY of the BODY KEEPS the SCORE by BESSEL VAN Der KOLK M. D: Brain, Mind and Body in the Healing of Trauma",Dain BESSEL,"DISCLAIMER This summary has a plethora of information and analysis to assist you in comprehending the original book The Body Keeps The Score. Bessel Van Der Kolk is the author of this piece. It is not intended to replace the book but rather to act as a companion. ABOUT THE AUTHOR: Bessel van der Kоlk, MD, is a physiatrist, researcher, and educator who specializes in post-traumatic stress disorder. Other books by him include Pусhоlоgсаl Trauma and Traumatic Stresses: The Effects of Overwhelming Experience on Mind, Body, and Society. Van der Kоlk is a psychiatry professor at Boston University School of Medicine who founded the Trauma Center at the Justice Resource Institute Have you been wanting to read Bessel van der Kolk's ""The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma"" but don't have the time or are searching for a reading companion to help you comprehend all you're reading for simple reference? If you've answered YES, then KEEP READING... Are you interested in learning more about his novel treatments? What are the benefits of meditation? Why is yoga such a powerful tool? If you answered yes, then you're about to read a Summary and Analysis that will assist you in healing from trauma and depression, even if you haven't read the original book. This Summary and Analysis of The Body Keeps the Score is for you if you need more than a book review to determine whether or not to read The Body Keeps the Score. Scroll to the top and click Buy Now with 1-Click or Buy Now to start reading.",Note non disponible,2021-07-10,Catégorie non disponible
The House of Gucci,Sara G. Forden,"SOON TO BE A MAJOR MOTION PICTURE from director Ridley Scott, starring Lady Gaga and Adam Driver. The sensational true story of murder, madness, glamour, and greed that shook the Gucci dynasty, now fully updated with a new afterword. On March 27, 1995, Maurizio Gucci, heir to the fabulous fashion dynasty, was slain by an unknown gunman as he approached his Milan office. In 1998, his ex-wife Patrizia Reggiani Martinelli--nicknamed ""The Black Widow"" by the press--was sentenced to 29 years in prison, for arranging his murder. Did Patrizia murder her ex-husband because his spending was wildly out of control? Did she do it because her glamorous ex was preparing to marry his mistress, Paola Franchi? Or is there a possibility she didn't do it at all? The Gucci story is one of glitz, glamour, intrigue, the rise, near fall and subsequent resurgence of a fashion dynasty. Beautifully written, impeccably researched, and widely acclaimed, The House of Gucci will captivate readers with its page-turning account of high fashion, high finance, and heart-rending personal tragedy. PRAISE FOR THE HOUSE OF GUCCI: ""This gripping book about the empire and murder of Maurizio Gucci ... reveals the ugly truth behind fashion's most fabulous family."" -Glamour ""A business book you will zip through like a novel. ... Forden has whipped up a mixture of family drama and high finance into a tasty and complex narrative."" -The Economist, 'A Best Book of the Year' ""Racy, fast-paced. ... Reads like a movie script. ... Hard to put down. ... Forden gets that famous Gucci bar-and-bit between her teeth -and gallops along."" -International Herald Tribune ""A penetrating chronicle of the rise and fall of a family business. ... Even by the Borgia-like standards of the fashion industry, the operatic Guccis were special. Not content with the usual familial stew of love, jealousy and greed, they added tax evasion, bigamy and, yes, murder to the mix."" -Wall Street Journal ""Riveting reading."" -Cosmopolitan ""A riveting account of the talent and creative chaos that built one of the world's great luxury-goods empires--and the egotism, bitter family conflict, and incompetence that nearly destroyed it."" -Bloomberg ""Fashion has never been so dramatic-and dangerous. The saga of three generations of the Gucci family opens with an execution-style murder in Milan and penetrates the world of one of the hottest fashion labels of our time. Fashion insider Sara Forden spins the tale of how a bunch of greedy, bickering Guccis lost control of the empire that made GG synonymous with loafers."" -Teri Agins, author of The End of Fashion ""Glamour, greed, sex, style, and very, very good leather goods -- what more can you ask for (besides a 30 percent discount)?"" -Michael Gross, bestselling author of Model and 740 Park",Note non disponible,2021-12,Businessmen
