title,authors,description,published_date,categories,goodreads_rating
Twisted Twenty-Six,Janet Evanovich,"This isn't just another case. This is family. How far will Stephanie Plum go to protect the one person who means the most to her? The stakes have never been higher in this #1 New York Times bestseller from Janet Evanovich. Grandma Mazur has decided to get married again - this time to a local gangster named Jimmy Rosolli. If Stephanie has her doubts about this marriage, she doesn't have to worry for long, because the groom drops dead of a heart attack 45 minutes after saying, ""I do."" A sad day for Grandma Mazur turns into something far more dangerous when Jimmy's former ""business partners"" are convinced that his new widow is keeping the keys to a financial windfall all to herself. But the one thing these wise guys didn't count on was the widow's bounty hunter granddaughter, who'll do anything to save her.",2019-11-12,Fiction,4.10
The Silent Patient,Alex Michaelides,"- THE RECORD-BREAKING, MULTIMILLION COPY GLOBAL BESTSELLER AND TIKTOK SENSATION - Discover the #1 New York Times and Sunday Times bestselling thriller with a jaw-dropping twist that everyone is talking about - as seen on TikTok. Soon to be a major film. Alicia Berenson lived a seemingly perfect life until one day six years ago. When she shot her husband in the head five times. Since then she hasn't spoken a single word. It's time to find out why. READERS LOVE THE SILENT PATIENT ⭐⭐⭐⭐⭐ 'Everything you need from a psychological thriller with a killer twist that is impossible to see coming!' ⭐⭐⭐⭐⭐ 'Fiendishly clever ... believe the hype.' ⭐⭐⭐⭐⭐ 'Grabs your afternoon from the start and never lets go' ⭐⭐⭐⭐⭐ 'A fantastic thriller with an incredible plot twist that I really didn't see coming. I highly recommend.' ⭐⭐⭐⭐⭐ 'OMG, my heart is still pounding from the final chapters of this amazing thriller.' ⭐⭐⭐⭐⭐ 'I'm honestly speechless, best book I have read for a very long time' ⭐⭐⭐⭐⭐ 'The twists when they come, wow oh wow!' CRITICALLY ACCLAIMED 'The perfect thriller' AJ FINN 'Terrific' - THE TIMES Crime Book of the Month 'Smart, sophisticated suspense' - LEE CHILD 'Compelling' - OBSERVER 'Absolutely brilliant' - STEPHEN FRY 'A totally original psychological mystery' - DAVID BALDACCI 'One of the best thrillers I've read this year' - CARA HUNTER 'The pace and finesse of a master' - BBC CULTURE",2019-02-05,Fiction,3.93
The Testaments,Margaret Atwood,"NEW YORK TIMES BESTSELLER • WINNER OF THE BOOKER PRIZE • A modern masterpiece that ""reminds us of the power of truth in the face of evil” (People)—and can be read on its own or as a sequel to Margaret Atwood’s classic, The Handmaid’s Tale. “Atwood’s powers are on full display” (Los Angeles Times) in this deeply compelling Booker Prize-winning novel, now updated with additional content that explores the historical sources, ideas, and material that inspired Atwood. More than fifteen years after the events of The Handmaid's Tale, the theocratic regime of the Republic of Gilead maintains its grip on power, but there are signs it is beginning to rot from within. At this crucial moment, the lives of three radically different women converge, with potentially explosive results. Two have grown up as part of the first generation to come of age in the new order. The testimonies of these two young women are joined by a third: Aunt Lydia. Her complex past and uncertain future unfold in surprising and pivotal ways. With The Testaments, Margaret Atwood opens up the innermost workings of Gilead, as each woman is forced to come to terms with who she is, and how far she will go for what she believes.",2019-09-10,Fiction,4.19
The Water Dancer,Ta-Nehisi Coates,"#1 NEW YORK TIMES BESTSELLER • OPRAH’S BOOK CLUB PICK • From the National Book Award–winning author of Between the World and Me, a boldly conjured debut novel about a magical gift, a devastating loss, and an underground war for freedom. “This potent book about America’s most disgraceful sin establishes [Ta-Nehisi Coates] as a first-rate novelist.”—San Francisco Chronicle IN DEVELOPMENT AS A MAJOR MOTION PICTURE • Adapted by Ta-Nehisi Coates and Kamilah Forbes, directed by Nia DaCosta, and produced by MGM, Plan B, and Oprah Winfrey’s Harpo Films NOMINATED FOR THE NAACP IMAGE AWARD • NAMED ONE OF PASTE’S BEST NOVELS OF THE DECADE • NAMED ONE OF THE BEST BOOKS OF THE YEAR BY Time • NPR • The Washington Post • Chicago Tribune • Vanity Fair • Esquire • Good Housekeeping • Paste • Town & Country • The New York Public Library • Kirkus Reviews • Library Journal Young Hiram Walker was born into bondage. When his mother was sold away, Hiram was robbed of all memory of her—but was gifted with a mysterious power. Years later, when Hiram almost drowns in a river, that same power saves his life. This brush with death births an urgency in Hiram and a daring scheme: to escape from the only home he’s ever known. So begins an unexpected journey that takes Hiram from the corrupt grandeur of Virginia’s proud plantations to desperate guerrilla cells in the wilderness, from the coffin of the Deep South to dangerously idealistic movements in the North. Even as he’s enlisted in the underground war between slavers and the enslaved, Hiram’s resolve to rescue the family he left behind endures. This is the dramatic story of an atrocity inflicted on generations of women, men, and children—the violent and capricious separation of families—and the war they waged to simply make lives with the people they loved. Written by one of today’s most exciting thinkers and writers, The Water Dancer is a propulsive, transcendent work that restores the humanity of those from whom everything was stolen. Praise for The Water Dancer “Ta-Nehisi Coates is the most important essayist in a generation and a writer who changed the national political conversation about race with his 2015 memoir, Between the World and Me. So naturally his debut novel comes with slightly unrealistic expectations—and then proceeds to exceed them. The Water Dancer . . . is a work of both staggering imagination and rich historical significance. . . . What’s most powerful is the way Coates enlists his notions of the fantastic, as well as his fluid prose, to probe a wound that never seems to heal. . . . Timeless and instantly canon-worthy.”—Rolling Stone",2019-09-24,Fiction,5.00
The Starless Sea,Erin Morgenstern,"THE TIKTOK SENSATION Discover the enchanting, magical bestseller from the author of The Night Circus, now in a stunning new edition. We are all stardust and stories... When Zachary Rawlins stumbles across a mysterious book containing details from his own life among its pages, it leads him on a quest unlike any other. Following the clues inside, he is guided to a masquerade ball, a dangerous secret club, and finally to an ancient library hidden far beneath the surface of the earth. What Zachary finds in this curious place is more than just a buried home for books and their guardians - it is a place of lost cities and seas, lovers who pass notes across time, and of stories whispered by the dead. But when the library is threatened, Zachary must race through its twisting tunnels and sweetly soaked shores, searching for the end of his story. PRAISE FOR THE STARLESS SEA: 'Enchanting read... an ode to stories and storytelling itself, and the joy of reading' Guardian 'Spellbinding' Daily Mirror 'A magical mix of quests and fables...beautifully written' Heat",2019-11-05,Fiction,4.50
Tom Clancy Code of Honor,Marc Cameron,"As President of the United States, Jack Ryan has faced many challenges, but none have been as personal as this and never has he been this helpless in the face of evil in the latest entry in Tom Clancy's #1 New York Times bestselling series. Father Pat West, S.J. was a buddy of the young Jack Ryan when they were both undergraduates at Boston College. Father West left a comfortable job in the philosophy department at Georgetown to work with the poor in Indonesia. Now he's been arrested and accused of blasphemy against Islam. President Ryan is desperate to rescue his old friend, but he can't move officially against the Indonesians. Instead he relies on the Campus team to find out who is framing the priest. There's one other twist to the story. President Ryan discovers a text on his private cell phone from the priest warning about a coming attack against America...",2019-11-19,Fiction,4.24
Becoming,Michelle Obama,"“… bersama, di apartemen kami yang sesak, Ayah dan Ibu mengajariku melihat nilai-nilai dalam setiap kisah kehidupan kami … bahkan saat kisah itu tidak indah atau sempurna ….” Dunia Michelle kecil adalah sebuah apartemen sempit di South Side, Chicago, tempat dia dan saudaranya, Craig, dibesarkan dan dididik untuk menjadi pemberani dan tidak takut bicara. Namun kemudian, kehidupan membawanya jauh melangkah, mulai dari Universitas Princeton—tempat dia belajar merasakan menjadi satu-satunya perempuan kulit hitam di sebuah ruangan—hingga ke kantor pengacara tempat dia bekerja dan bertemu Barack Obama, yang kemudian menjadi suaminya. Pertemuan yang mengubah semua rencana hidupnya. Dalam buku ini, untuk pertama kalinya, Michelle Obama menggambarkan tahun-tahun pertama pernikahannya, ketika dia berjuang menyeimbangkan pekerjaan dan keluarganya dengan karier politik suaminya yang bergerak cepat. Dia juga mengungkap drama pencalonan suaminya sebagai presiden hingga perannya sebagai tokoh yang populer, sekaligus sasaran kritik. Dengan narasi yang anggun, penuh humor, dan keterusterangan, Michelle menuturkan kisah di balik layar kehidupannya selama delapan tahun di Gedung Putih yang membuatnya tak hanya dikenal, tetapi juga semakin mengenal negaranya. Melalui Becoming, sebuah memoar yang jujur dan berani, Michelle Obama menggugah kita untuk bertanya: Who are we and who do we want to become? [Mizan, Noura Books, Nourabooks, Kisah, Klasik, Novel, Memoar, Biografi, Terjemahan, Indonesia]",2019-08-13,Biography & Autobiography,4.35
Me,Elton John,"In his first and only official autobiography, music icon Elton John reveals the truth about his extraordinary life. Me is the joyously funny, honest and moving story of the most enduringly successful singer/songwriter of all time. The Sunday Times bestseller with a new chapter bringing the story up to date. 'The rock memoir of the decade' – Daily Mail 'The rock star's gloriously entertaining and candid memoir is a gift to the reader' – Sunday Times ______________ Christened Reginald Dwight was a shy boy with Buddy Holly glasses who grew up in the London suburb of Pinner and dreamed of becoming a pop star. By the age of twenty-three, he was performing his first gig in America, facing an astonished audience in his bright yellow dungarees, a star-spangled T-shirt and boots with wings. Elton John had arrived and the music world would never be the same again. His life has been full of drama, from the early rejection of his work with songwriting partner Bernie Taupin to spinning out of control as a chart-topping superstar; from half-heartedly trying to drown himself in his LA swimming pool to disco-dancing with the Queen; from friendships with John Lennon, Freddie Mercury and George Michael to setting up his AIDS Foundation. All the while, Elton was hiding a drug addiction that would grip him for over a decade. In Me Elton also writes powerfully about getting clean and changing his life, about finding love with David Furnish and becoming a father. In a voice that is warm, humble and open, this is Elton on his music and his relationships, his passions and his mistakes. This is a story that will stay with you, by a living legend. ______________ 'Self-deprecating, funny . . . You cannot help but enjoy his company throughout, temper tantrums and all' – The Times 'Racy, pacy and crammed with scurrilous anecdotes - what more could you ask from the rocket man' – Guardian (Book of the Week) 'Chatty, gossipy, amusing and at times brutally candid' – Telegraph",2019-10-15,Biography & Autobiography,4.33
Sam Houston and the Alamo Avengers,Brian Kilmeade,"The New York Times bestseller now in paperback with a new epilogue. In March 1836, the Mexican army led by General Santa Anna massacred more than two hundred Texians who had been trapped in the Alamo. After thirteen days of fighting, American legends Jim Bowie and Davey Crockett died there, along with other Americans who had moved to Texas looking for a fresh start. It was a crushing blow to Texas’s fight for freedom. But the story doesn’t end there. The defeat galvanized the Texian settlers, and under General Sam Houston’s leadership they rallied. Six weeks after the Alamo, Houston and his band of settlers defeated Santa Anna’s army in a shocking victory, winning the independence for which so many had died. Sam Houston and the Alamo Avengers recaptures this pivotal war that changed America forever, and sheds light on the tightrope all war heroes walk between courage and calculation. Thanks to Kilmeade’s storytelling, a new generation of readers will remember the Alamo—and recognize the lesser known heroes who snatched victory from the jaws of defeat.",2019-11-05,History,3.83
The Body,Bill Bryson,"#1 Bestseller in both hardback and paperback: SHORTLISTED FOR THE 2020 ROYAL SOCIETY INSIGHT INVESTMENT SCIENCE BOOK PRIZE _______ 'A directory of wonders.' - The Guardian 'Jaw-dropping.' - The Times 'Classic, wry, gleeful Bryson...an entertaining and absolutely fact-rammed book.' - The Sunday Times 'It is a feat of narrative skill to bake so many facts into an entertaining and nutritious book.' - The Daily Telegraph _______ 'We spend our whole lives in one body and yet most of us have practically no idea how it works and what goes on inside it. The idea of the book is simply to try to understand the extraordinary contraption that is us.' Bill Bryson sets off to explore the human body, how it functions and its remarkable ability to heal itself. Full of extraordinary facts and astonishing stories The Body: A Guide for Occupants is a brilliant, often very funny attempt to understand the miracle of our physical and neurological make up. A wonderful successor to A Short History of Nearly Everything, this new book is an instant classic. It will have you marvelling at the form you occupy, and celebrating the genius of your existence, time and time again. 'What I learned is that we are infinitely more complex and wondrous, and often more mysterious, than I had ever suspected. There really is no story more amazing than the story of us.' Bill Bryson",2019-10-03,Science,4.26
A Warning,Anonymous,"An unprecedented behind-the-scenes portrait of the Trump presidency from the anonymous senior official whose first words of warning about the president rocked the nation's capital. On September 5, 2018, the New York Times published a bombshell essay and took the rare step of granting its writer anonymity. Described only as ""a senior official in the Trump administration,"" the author provided eyewitness insight into White House chaos, administration instability, and the people working to keep Donald Trump's reckless impulses in check. With the 2020 election on the horizon, Anonymous is speaking out once again. In this book, the original author pulls back the curtain even further, offering a first-of-its-kind look at the president and his record -- a must-read before Election Day. It will surprise and challenge both Democrats and Republicans, motivate them to consider how we judge our nation's leaders, and illuminate the consequences of re-electing a commander in chief unfit for the role. This book is a sobering assessment of the man in the Oval Office and a warning about something even more important -- who we are as a people.",2019-11-19,Political Science,4.50
Mobituaries,Mo Rocca,"From beloved CBS Sunday Morning correspondent and humorist Mo Rocca, an entertaining and rigorously researched book that celebrates the dead people who have long fascinated him. Mo Rocca has always loved obituaries—reading about the remarkable lives of global leaders, Hollywood heavyweights, and innovators who changed the world. But not every notable life has gotten the send-off it deserves. His quest to right that wrong inspired Mobituaries, his #1 hit podcast. Now with Mobituaries, the book, he has gone much further, with all new essays on artists, entertainers, sports stars, political pioneers, founding fathers, and more. Even if you know the names, you’ve never understood why they matter...until now. Take Herbert Hoover: before he was president, he was the “Great Humanitarian,” the man who saved tens of millions from starvation. But after less than a year in the White House, the stock market crashed, and all the good he had done seemed to be forgotten. Then there’s Marlene Dietrich, well remembered as a screen goddess, less remembered as a great patriot. Alongside American servicemen on the front lines during World War II, she risked her life to help defeat the Nazis of her native Germany. And what about Billy Carter and history’s unruly presidential brothers? Were they ne’er-do-well liabilities…or secret weapons? Plus, Mobits for dead sports teams, dead countries, the dearly departed station wagon, and dragons. Yes, dragons. Rocca is an expert researcher and storyteller. He draws on these skills here. With his dogged reporting and trademark wit, Rocca brings these men and women back to life like no one else can. Mobituaries is an insightful and unconventional account of the people who made life worth living for the rest of us, one that asks us to think about who gets remembered, and why.",2019-11-05,Biography & Autobiography,4.07
Triggered,Donald Trump Jr.,"This is the book that the leftist elites don't want you to read: Donald Trump, Jr., exposes all the tricks that the left uses to smear conservatives and push them out of the public square, from online ""shadow banning"" to rampant ""political correctness."" In Triggered, Donald Trump, Jr. exposes all the tricks that the left uses to smear conservatives and push them out of the public square, from online ""shadow banning"" to fake accusations of ""hate speech."" No topic is spared from political correctness. This is the book that the leftist elites don't want you to read! Trump, Jr. writes about the importance of fighting back and standing up for what you believe in. From his childhood summers in Communist Czechoslovakia that began his political thought process, to working on construction sites with his father, to the major achievements of President Trump's administration, Donald Trump, Jr. spares no details and delivers a book that focuses on success, perseverance, and determination.",2019-11-05,Political Science,3.40
Finding Chika,Mitch Albom,"FROM THE MASTER STORYTELLER WHOSE BOOKS HAVE TOUCHED THE HEARTS OF OVER 40 MILLION READERS 'Mitch Albom sees the magical in the ordinary' Cecilia Ahern __________ Chika Jeune came into Mitch Albom's life by chance. Growing up in the aftermath of the devastating 2010 Haiti Earthquake, at three years old she tragically lost her mother and was brought to the orphanage run by Mitch and his wife, Janine. Chika made a quick impression. Brave and self-assured, she delighted those around her. But everything changed when Chika was diagnosed with a terminal disease that no doctor in Haiti could treat. This discovery sparked a two-year, around-the-world journey in search of a cure. As Chika's boundless optimism and humour taught Mitch the joys of caring for a child, he learned that a relationship built on love can never be lost. __________ WHAT READERS ARE SAYING ABOUT FINDING CHIKA 'A powerful, emotional story' 'If you read one book this year, make it this one!' 'A beautifully written book, heart-breaking and uplifting in equal measure' 'An amazing journey of determination and love' 'I laughed, I cried, and just couldn't put it down'",2019-11-05,Biography & Autobiography,4.18
The Book of Gutsy Women,"Hillary Rodham Clinton, Chelsea Clinton","She couldn’t have been more than seven or eight years old. “Go ahead, ask your question,” her father urged, nudging her forward. She smiled shyly and said, “You’re my hero. Who’s yours?” Many people—especially girls—have asked us that same question over the years. It’s one of our favorite topics. HILLARY: Growing up, I knew hardly any women who worked outside the home. So I looked to my mother, my teachers, and the pages of Life magazine for inspiration. After learning that Amelia Earhart kept a scrapbook with newspaper articles about successful women in male-dominated jobs, I started a scrapbook of my own. Long after I stopped clipping articles, I continued to seek out stories of women who seemed to be redefining what was possible. CHELSEA: This book is the continuation of a conversation the two of us have been having since I was little. For me, too, my mom was a hero; so were my grandmothers. My early teachers were also women. But I grew up in a world very different from theirs. My pediatrician was a woman, and so was the first mayor of Little Rock who I remember from my childhood. Most of my close friends’ moms worked outside the home as nurses, doctors, teachers, professors, and in business. And women were going into space and breaking records here on Earth. Ensuring the rights and opportunities of women and girls remains a big piece of the unfinished business of the twenty-first century. While there’s a lot of work to do, we know that throughout history and around the globe women have overcome the toughest resistance imaginable to win victories that have made progress possible for all of us. That is the achievement of each of the women in this book. So how did they do it? The answers are as unique as the women themselves. Civil rights activist Dorothy Height, LGBTQ trailblazer Edie Windsor, and swimmer Diana Nyad kept pushing forward, no matter what. Writers like Rachel Carson and Chimamanda Ngozi Adichie named something no one had dared talk about before. Historian Mary Beard used wit to open doors that were once closed, and Wangari Maathai, who sparked a movement to plant trees, understood the power of role modeling. Harriet Tubman and Malala Yousafzai looked fear in the face and persevered. Nearly every single one of these women was fiercely optimistic—they had faith that their actions could make a difference. And they were right. To us, they are all gutsy women—leaders with the courage to stand up to the status quo, ask hard questions, and get the job done. So in the moments when the long haul seems awfully long, we hope you will draw strength from these stories. We do. Because if history shows one thing, it’s that the world needs gutsy women.",2019-10-01,Biography & Autobiography,4.14
How To,Randall Munroe,"AN INSTANT #1 NEW YORK TIMES BESTSELLER “How To will make you laugh as you learn…With How To, you can't help but appreciate the glorious complexity of our universe and the amazing breadth of humanity's effort to comprehend it. If you want some lightweight edification, you won't go wrong with How To.” —CNET “[How To] has science and jokes in it, so 10/10 can recommend.” —Simone Giertz The world's most entertaining and useless self-help guide from the brilliant mind behind the wildly popular webcomic xkcd and the bestsellers What If? and Thing Explainer For any task you might want to do, there's a right way, a wrong way, and a way so monumentally complex, excessive, and inadvisable that no one would ever try it. How To is a guide to the third kind of approach. It's full of highly impractical advice for everything from landing a plane to digging a hole. Bestselling author and cartoonist Randall Munroe explains how to predict the weather by analyzing the pixels of your Facebook photos. He teaches you how to tell if you're a baby boomer or a 90's kid by measuring the radioactivity of your teeth. He offers tips for taking a selfie with a telescope, crossing a river by boiling it, and powering your house by destroying the fabric of space-time. And if you want to get rid of the book once you're done with it, he walks you through your options for proper disposal, including dissolving it in the ocean, converting it to a vapor, using tectonic plates to subduct it into the Earth's mantle, or launching it into the Sun. By exploring the most complicated ways to do simple tasks, Munroe doesn't just make things difficult for himself and his readers. As he did so brilliantly in What If?, Munroe invites us to explore the most absurd reaches of the possible. Full of clever infographics and fun illustrations, How To is a delightfully mind-bending way to better understand the science and technology underlying the things we do every day.",2019-09-03,Humor,3.67
Before We Were Yours,Lisa Wingate,Simplified Chinese edition of Before We Were Yours,2019-12-13,Fiction,4.39
The Great Alone,Kristin Hannah,Een jonge vrouw komt in Alaska voor de keuze te staan haar eigen leven te gaan leiden of thuis te blijven wonen om haar moeder te steunen die wordt mishandeld door haar vader.,2019-01-10,Alaska,4.09
Doctor Sleep,Stephen King,"Now a major motion picture starring Ewan McGregor! From master storyteller Stephen King, his unforgettable and terrifying sequel to The Shining—an instant #1 New York Times bestseller that is “[a] vivid frightscape” (The New York Times). Years ago, the haunting of the Overlook Hotel nearly broke young Dan Torrance’s sanity, as his paranormal gift known as “the shining” opened a door straight into hell. And even though Dan is all grown up, the ghosts of the Overlook—and his father’s legacy of alcoholism and violence—kept him drifting aimlessly for most of his life. Now, Dan has finally found some order in the chaos by working in a local hospice, earning the nickname “Doctor Sleep” by secretly using his special abilities to comfort the dying and prepare them for the afterlife. But when he unexpectedly meets twelve-year-old Abra Stone—who possesses an even more powerful manifestation of the shining—the two find their lives in sudden jeopardy at the hands of the ageless and murderous nomadic tribe known as the True Knot, reigniting Dan’s own demons and summoning him to battle for this young girl’s soul and survival...",2019-09-24,Fiction,4.13
No One Is Too Small to Make a Difference,Greta Thunberg,"The #1 New York Times bestseller by Time's 2019 Person of the Year ""Greta Thunberg is already one of our planet’s greatest advocates."" —Barack Obama The groundbreaking speeches of Greta Thunberg, the young climate activist who has become the voice of a generation, including her historic address to the United Nations In August 2018 a fifteen-year-old Swedish girl, Greta Thunberg, decided not to go to school one day in order to protest the climate crisis. Her actions sparked a global movement, inspiring millions of students to go on strike for our planet, forcing governments to listen, and earning her a Nobel Peace Prize nomination. No One Is Too Small to Make A Difference brings you Greta in her own words, for the first time. Collecting her speeches that have made history across the globe, from the United Nations to Capitol Hill and mass street protests, her book is a rallying cry for why we must all wake up and fight to protect the living planet, no matter how powerless we feel. Our future depends upon it.",2019-11-12,Biography & Autobiography,3.86
The Library Book,Susan Orlean,"A New York Times Book of the Year, 2018 A REESE WITHERSPOON x HELLO SUNSHINE BOOK CLUB PICK A dazzling love letter to a beloved institution - our libraries. After moving to Los Angeles, Susan Orlean became fascinated by a mysterious local crime that has gone unsolved since it was carried out on the morning of 29 April 1986: who set fire to the Los Angeles Public Library, ultimately destroying more than 400,000 books, and perhaps even more perplexing, why? With her characteristic humour, insight and compassion, Orlean uses this terrible event as a lens through which to tell the story of all libraries - their history, their meaning and their uncertain future as they adapt and redefine themselves in a digital world. Filled with heart, passion and extraordinary characters, The Library Book discusses the larger, crucial role that libraries play in our lives.",2019-01-03,History,4.00
"The Boy, the Mole, the Fox and the Horse",Charlie Mackesy,"The Sunday Times Bestseller and New York Times Bestseller. A book of hope for uncertain times. 'Feeling a little blue? Meet the new Winnie the Pooh.' The Daily Mail 'A wonderful work of art and a wonderful window into the human heart' Richard Curtis Enter the world of Charlie's four unlikely friends, discover their story and their most important life lessons. The conversations of the boy, the mole, the fox and the horse have been shared thousands of times online, recreated in school art classes, hung on hospital walls and turned into tattoos. In Charlie's first book, you will find his most-loved illustrations and some new ones too.",2019-10-10,Catégorie non disponible,4.33
The Blue Zones Kitchen,Dan Buettner,"Best-selling author Dan Buettner debuts his first cookbook, filled with 100 longevity recipes inspired by the Blue Zones locations around the world, where people live the longest. Building on decades of research, longevity expert Dan Buettner has gathered 100 recipes inspired by the Blue Zones, home to the healthiest and happiest communities in the world. Each dish--for example, Sardinian Herbed Lentil Minestrone; Costa Rican Hearts of Palm Ceviche; Cornmeal Waffles from Loma Linda, California; and Okinawan Sweet Potatoes--uses ingredients and cooking methods proven to increase longevity, wellness, and mental health. Complemented by mouthwatering photography, the recipes also include lifestyle tips (including the best times to eat dinner and proper portion sizes), all gleaned from countries as far away as Japan and as near as Blue Zones project cities in Texas. Innovative, easy to follow, and delicious, these healthy living recipes make the Blue Zones lifestyle even more attainable, thereby improving your health, extending your life, and filling your kitchen with happiness.",2019-12-03,Cooking,3.71
The Pioneer Woman Cooks—The New Frontier,Ree Drummond,"The #1 New York Times bestselling author and Food Network favorite The Pioneer Woman cooks up exciting new favorites from her life on the ranch in this glorious full-color cookbook that showcases home cooking at its most delicious (and most fun!). Welcome to Ree’s new frontier! So much has happened on Drummond Ranch over the last couple of years: The kids are growing up, another left for college, Ree’s schedule is crazier than ever…and through it all, her cooking has evolved. While she and her family still love all the hearty comfort foods they’re accustomed to, Ree’s been cooking up some incredible new dishes that reflect the flavors, colors, and texture she’s craving these days. The Pioneer Woman Cooks: The New Frontier features 112 brand new step-by-step recipes that bring fresh, exciting elements into your everyday meals. From super-scrumptious breakfasts, to satisfying soups and sandwiches, to deliciously doable suppers and sides—and, of course, a collection of irresistible sweets you’ll want to make immediately!—these pages will deliver a big list of fabulous new dishes for you to add to your repertoire. A wife of a cowboy, mother of growing kids, and a businesswoman with a packed work schedule, Ree knows exactly what it means to juggle life’s numerous demands simultaneously. The recipes in this book use everything from a skillet to a Dutch oven to an Instant Pot, so you’ll have a mix of options to suit your own timeframe. And to reflect her own occasional adventures in carb cutting, Ree shares dozens of luscious lower-carb options for those days you want to eat a little lighter without sacrificing flavor. In The Pioneer Woman Cooks: The New Frontier you can explore an amazing and eclectic mix of traditional and new, including: • Portobello Bun Burgers (revolutionary) • Instant Pot Pumpkin Spice Oatmeal (tastes just like fall!) • Lasagna Soup (so family friendly) • Fried Tomato Sandwich (with pesto mayo and whole basil leaves) • Parmesan Crisps (an irresistible low-carb snack) • Zucchini Caprese Sliders (a pretty and tasty low-carb delight) • Blueberry Ricotta Crostini (gorgeous party food!) • Teriyaki Shrimp and Pineapple Parcels (the new way to stir fry) • Mean Green Mac and Cheese (mac & cheese + veggies = score!) • Ranch Pork Chop Supper (kids will love to make it) • Cauliflower Fried Rice (a guilt-free version of your favorite takeout dish) • Ice Cream Bonbons (smaller bites, to satisfy quick cravings) • 11-Carton Cake (uses a carton of yogurt, then the carton measures everything else!) • Caramel Apple Quesadillas (beyond belief) Filled with endless variations, ingredient discussions, and equipment suggestions sprinkled among sensational recipes that offer a mix of refined and down-home, The Pioneer Woman Cooks: The New Frontier offers a whole new world of “scrumptious” for you to explore!",2019-10-22,Cooking,4.06
I Really Needed This Today,Hoda Kotb,"AN INSTANT #1 NEW YORK TIMES BESTSELLER From New York Times bestselling author and beloved Today show co-host Hoda Kotb comes an inspiring collection of quotes that offer wisdom, courage, and hope—the perfect gift for Mother's Day! Several years ago, Today show co-host Hoda Kotb began posting a variety of quotes on her Instagram page. Some were penned by a favorite writer; others offered a dose of love or laughter. She thought the quotes were meaningful only to her, but soon a funny thing started happening—reactions poured in from thousands of people who were just as moved. The quotes weren't only providing inspiration to Hoda, they were comforting and connecting people. So many of their comments read, “I really needed this today,” a phrase that inspired the book's title. In I Really Needed This Today, Hoda not only shares 365 sayings and quotes, she writes about the people and experiences that have pushed her to challenge boundaries, embrace change, and explore relationships to their fullest. Written with her signature wit and warmth, this book is the ideal companion to tuck beside your bed or to bring with you on-the-go to keep you motivated, recharged, and inspired each day.",2019-10-15,Reference,4.17
Binging with Babish,Andrew Rea,Recipes recreated from beloved movies and TV shows by the host of one of the most popular food programs on the internet,2019,Cooking,4.33
Ali Cross,James Patterson,"Alex Cross's son Ali is eager to follow in his father's footsteps as a detective, but when his best friend goes missing, what price will he have to pay to solve the mystery? Alex Cross The brilliant DC detective who never gives up on a case. Ali Cross The tenacious kid who's determined to follow in his father's footsteps. The case that finally gives him a chance Ali knows Gabe Qualls better than anyone, so when his friend goes missing, Ali jumps right into action. Alex Cross has taught his son the values he needs to solve the mystery: intelligence, persistence, and logic. One thing Ali hasn't learned? Patience. Because Ali realises that with every day that passes without the police finding Gabe, the less likely it is that he'll ever be found. And being Alex Cross's son, he refuses to accept those odds.",2019-12-12,Juvenile Fiction,3.85
Diary of an Awesome Friendly Kid: Rowley Jefferson's Journal,Jeff Kinney,"Get ready for a whole new look into Jeff Kinney’s Diary of a Wimpy Kid! Introducing the newest Wimpy Kid author—Rowley Jefferson! Rowley’s best friend Greg Heffley has been chronicling his middle-school years in thirteen Diary of a Wimpy Kid journals . . . and counting. But it’s finally time for readers to hear directly from Rowley in a journal of his own. In Diary of an Awesome Friendly Kid, Rowley writes about his experiences and agrees to play the role of biographer for Greg along the way. (After all, one day Greg will be rich and famous, and everyone will want to know his life’s story.) But Rowley is a poor choice for the job, and his “biography” of Greg is a hilarious mess. Diary of an Awesome Friendly Kid: Rowley Jefferson’s Journal offers readers a new way to look at the Wimpy world—one fans won’t want to miss!",2019-04-09,Juvenile Fiction,3.99
The Complete Baking Book for Young Chefs,America's Test Kitchen Kids,"A New York Times Bestseller! From the creators of the #1 New York Times bestselling cookbook for kids comes the ultimate baking book. America's Test Kitchen once again brings their scientific know-how, rigorous testing, and hands-on learning to KIDS! BAKING ISN'T JUST FOR CUPCAKES Want to make your own soft pretzels? Or wow your friends with homemade empanadas? What about creating a showstopping pie? Maybe some chewy brownies after school? From breakfast to breads, from cookies to cakes (yes, even cupcakes!), learn to bake it all here. You can do this, and it's fun! Recipes were thoroughly tested by more than 5,000 kids to get them just right for cooks of all skill levels—including recipes for breakfast, breads, pizzas, cookies, cupcakes, and more Step-by-step photos of tips and techniques will help young chefs feel like pros in their own kitchen Testimonials (and even some product reviews!) from kid test cooks who worked alongside America's Test Kitchen test cooks will encourage young chefs that they truly are learning the best recipes from the best cooks. By empowering young chefs to make their own choices in the kitchen, America's Test Kitchen is building a new generation of confident cooks, engaged eaters, and curious experimenters.",2019-10-01,Juvenile Nonfiction,4.48
