title,authors,description,published_date,categories,goodreads_rating
Holly,Stephen King,"#1 New York Times Bestseller * New York Times Notable Book * NPR Best Book of the Year Holly Gibney, one of Stephen King’s most compelling and resourceful characters, returns in this chilling novel to solve the gruesome truth behind multiple disappearances in a midwestern town. “Sometimes the universe throws you a rope.” —BILL HODGES Stephen King’s Holly marks the triumphant return of beloved King character Holly Gibney. Readers have witnessed Holly’s gradual transformation from a shy (but also brave and ethical) recluse in Mr. Mercedes to Bill Hodges’s partner in Finders Keepers to a full-fledged, smart, and occasionally tough private detective in The Outsider. In King’s new novel, Holly is on her own, and up against a pair of unimaginably depraved and brilliantly disguised adversaries. When Penny Dahl calls the Finders Keepers detective agency hoping for help locating her missing daughter, Holly is reluctant to accept the case. Her partner, Pete, has Covid. Her (very complicated) mother has just died. And Holly is meant to be on leave. But something in Penny Dahl’s desperate voice makes it impossible for Holly to turn her down. Mere blocks from where Bonnie Dahl disappeared live Professors Rodney and Emily Harris. They are the picture of bourgeois respectability: married octogenarians, devoted to each other, and semi-retired lifelong academics. But they are harboring an unholy secret in the basement of their well-kept, book-lined home, one that may be related to Bonnie’s disappearance. And it will prove nearly impossible to discover what they are up to: they are savvy, they are patient, and they are ruthless. Holly must summon all her formidable talents to outthink and outmaneuver the shockingly twisted professors in this chilling new masterwork from Stephen King. “I could never let Holly Gibney go. She was supposed to be a walk-on character in Mr. Mercedes and she just kind of stole the book and stole my heart. Holly is all her.” —STEPHEN KING",2023-09-05,Fiction,4.11
Tom Lake,Ann Patchett,"The breathtaking new novel from Ann Patchett – a Sunday Times and No. 1 New York Times bestseller * WATERSTONES FICTION BOOK OF THE MONTH JUNE 2024 * * SHORTLISTED FOR WATERSTONES BOOKS OF THE YEAR 2023 * * A REESE WITHERSPOON AND BBC RADIO 2 BOOK CLUB PICK * * A 2023 BOOK OF THE YEAR FOR THE TIMES * 'Filled with the moments I live for in a story' BONNIE GARMUS, author of Lessons in Chemistry '[Tom Lake] has it all ... Young love, sibling rivalry and deep mother-daughter relationships' REESE WITHERSPOON 'One of the most beloved authors of her generation' SUNDAY TIMES There's more to every love story than what we choose to tell... It's spring and Lara's three grown daughters have returned to the family orchard. While picking cherries, they beg their mother to tell them the one story they've always longed to hear – of the film star with whom she shared a stage, and a romance, years before. Tom Lake is a meditation on youthful love, married love, and the lives parents lead before their children are born. Both hopeful and elegiac, it explores what it means to be happy even when the world is falling apart. 'One of our greatest living chroniclers of love and marriage ... Expect wonder; Patchett always delivers' ELLE Tom Lake was ranked #6 in UK TCM paperback charts week ending 9/6/2024",2023-08-01,Fiction,3.71
Alex Cross Must Die,James Patterson,"SOON TO BE AN ORIGINAL AMAZON PRIME SERIES TWO KILLERS. TWO MOTIVES. A DEADLY RACE AGAINST TIME. When an American Airlines plane explodes in the sky, detectives Alex Cross and John Sampson are first on the scene. They don't hear the gunfire. At first. It soon becomes clear that the plane was taken down by a rare, stolen machine gun. The list of people who could operate the weapon is short. And time runs even shorter. But this isn't the only case the pair must solve. They're also tracking a serial killer who's ambushing young men in what the media are calling the 'Dead Hours' murders. With two killers and two different motives, Cross and Sampson are in a deadly race against time . . . The latest thriller in the globally bestselling series has arrived. ________________________________ Readers are loving Alex Cross Must Die . . . ***** 'The brilliant new action-packed thriller' ***** 'I just cannot get enough of these fast-paced, page-turning crime thrillers' ***** 'This story is full of surprises' ***** 'I LOVE Alex Cross, roll on the next book!' ***** 'The Alex Cross books are amongst the finest detective stories in the world' _______________________________ PRAISE FOR THE ALEX CROSS SERIES 'Patterson never, and I mean never, disappoints' USA Today 'Behind all the noise and the numbers, we shouldn't forget that no one gets this big without amazing natural storytelling talent - which is what Jim has, in spades. The Alex Cross series proves it' Lee Child 'Alex Cross is a legend' Harlan Coben 'Alex Cross ... only gets better and better' Lisa Scottoline '[Alex Cross] has become one of the greatest fictional detectives of all time, a character for the ages' Douglas Preston and Lincoln Child Alex Cross Must Die was a no.6 Sunday Times bestseller 05/12/2023",2023-10-26,Fiction,3.52
The Edge,David Baldacci,"The 6:20 Man is back, dropped by his handlers into a small coastal town in Maine to solve the murder of a CIA agent who knew America’s dirtiest secrets—can Travis Devine uncover the truth before his time runs out? When CIA operative Jenny Silkwell is murdered in rural Maine, government officials have immediate concerns over national security. Her laptop and phone were full of state secrets that, in the wrong hands, endanger the lives of countless operatives. In need of someone who can solve the murder quickly and retrieve the missing information, the U.S. government knows just the chameleon they can call on. Ex-Army Ranger Travis Devine spent his time in the military preparing to take on any scenario, followed by his short-lived business career chasing shadows in the deepest halls of power, so his analytical mind makes him particularly well-suited for complex, high-stakes tasks. Taking down the world’s largest financial conspiracy proved his value, and in comparison, this case looks straightforward. Except small towns hold secrets and Devine finds himself an outsider again. Devine must ingratiate himself with locals who have trusted each other their whole lives, and who distrust outsiders just as much. Dak, Jenny’s brother, who’s working to revitalize the town. Earl, the retired lobsterman who found Jenny’s body. And Alex, Jenny’s sister with a dark past of her own. As Devine gets to know the residents of Putnam, Maine, answers seem to appear and then transform into more questions. There’s a long history of secrets and those who will stop at nothing to keep them from being exposed. Leaving Devine with no idea who he can trust... and who wants him dead.",2023-11-14,Fiction,4.37
The Covenant of Water,Abraham Verghese,"OPRAH'S BOOK CLUB PICK INSTANT NEW YORK TIMES BESTSELLER SUBJECT OF A SIX-PART SUPER SOUL PODCAST SERIES HOSTED BY OPRAH WINFREY ONE OF BARACK OBAMA'S BEST BOOKS OF 2023 'One of the best books I've read in my entire life. It's epic. It's transportive . . . It was unputdownable!' Oprah Winfrey, OprahDaily.com Spanning the years 1900 to 1977, The Covenant of Water follows a family in southern India that suffers a peculiar affliction: in every generation, at least one person dies by drowning - and in Kerala, water is everywhere. At the turn of the century a twelve-year-old girl, grieving the death of her father, is sent by boat to her wedding, where she will meet her forty-year-old husband for the first time. From this poignant beginning, the young girl and future matriarch - known as Big Ammachi - will witness unthinkable changes at home and at large over the span of her extraordinary life, full of the joys and trials of love and the struggles of hardship. A shimmering evocation of a lost India and of the passage of time itself, The Covenant of Water is a hymn to progress in medicine and to human understanding, and a humbling testament to the hardships undergone by past generations for the sake of those alive today. Imbued with humour, deep emotion and the essence of life, it is one of the most masterful literary novels published in recent years.",2023-05-18,Fiction,4.06
Resurrection Walk,Michael Connelly,"THE WORLDWIDE #1 BESTSELLER BEHIND NETFLIX'S THE LINCOLN LAWYER THE PATH TO JUSTICE CAN BE PAVED WITH LIES Defense attorney Mickey Haller - The Lincoln Lawyer - is inundated with pleas from prisoners protesting their innocence. With the help of ex-LAPD detective Harry Bosch, they find a needle in the haystack: a possible wrongful conviction. A woman imprisoned for murdering her husband, a sheriff's deputy. But the evidence doesn't add up, the department pushed for quick closure in the killing of one of its own. But is this rushed justice - or something more sinister? As they face a David versus Goliath court battle, the secrets which could set an innocent woman free could also be worth killing for... **** PRAISE FOR RESURRECTION WALK: 'Connelly at his glittering best: full of twists and insights, it grips like a hungry python' DAILY MAIL 'The perfect combination of courtroom drama and police procedural - Connelly's latest masterpiece shows why he's the crime writer all his rivals look up to' SUNDAY EXPRESS **** CRIME DOESN'T COME BETTER THAN CONNELLY: 'The pre-eminent detective novelist of his generation' IAN RANKIN 'The best mystery writer in the world' GQ 'A superb natural storyteller' LEE CHILD 'A master' STEPHEN KING 'America's greatest living crime writer' DAILY EXPRESS 'One of the great storytellers of crime fiction' SUNDAY TELEGRAPH",2023-11-07,Fiction,4.56
Oath and Honor,Liz Cheney,"INSTANT #1 BESTSELLER: A gripping first-hand account of the January 6th, 2021, insurrection from inside the halls of Congress, from origins to aftermath, as Donald Trump and his enablers betrayed the American people and the Constitution—by the House Republican leader who dared to stand up to it. In the aftermath of the 2020 presidential election, Donald Trump and many around him, including certain other elected Republican officials, intentionally breached their oath to the Constitution: they ignored the rulings of dozens of courts, plotted to overturn a lawful election, and provoked a violent attack on our Capitol. Liz Cheney, one of the few Republican officials to take a stand against these efforts, witnessed the attack first-hand, and then helped lead the Congressional Select Committee investigation into how it happened. In Oath and Honor, she tells the story of this perilous moment in our history, those who helped Trump spread the stolen election lie, those whose actions preserved our constitutional framework, and the risks we still face.",2023-12-05,Biography & Autobiography,3.8
The Wager,David Grann,"From the international bestselling author of KILLERS OF THE FLOWER MOON and THE LOST CITY OF Z, a mesmerising story of shipwreck, mutiny and murder, culminating in a court martial that reveals a shocking truth. On 28th January 1742, a ramshackle vessel of patched-together wood and cloth washed up on the coast of Brazil. Inside were thirty emaciated men, barely alive, and they had an extraordinary tale to tell. They were survivors of His Majesty’s ship the Wager, a British vessel that had left England in 1740 on a secret mission during an imperial war with Spain. While chasing a Spanish treasure-filled galleon, the Wager was wrecked on a desolate island off the coast of Patagonia. The crew, marooned for months and facing starvation, built the flimsy craft and sailed for more than a hundred days, traversing 2,500 miles of storm-wracked seas. They were greeted as heroes. Then, six months later, another, even more decrepit, craft landed on the coast of Chile. This boat contained just three castaways and they had a very different story to tell. The thirty sailors who landed in Brazil were not heroes – they were mutineers. The first group responded with counter-charges of their own, of a tyrannical and murderous captain and his henchmen. While stranded on the island the crew had fallen into anarchy, with warring factions fighting for dominion over the barren wilderness. As accusations of treachery and murder flew, the Admiralty convened a court martial to determine who was telling the truth. The stakes were life-and-death—for whomever the court found guilty could hang.",2023-05-11,History,3.67
The Woman in Me,Britney Spears,"#1 New York Times Bestseller Winner of the 2023 Goodreads Choice Award for Best Memoir & Autobiography Named a Best Book of 2023 by ELLE, The Washington Post, Vulture, NPR, The New Statesmen (UK), The New Yorker, and more! “In Britney Spears’s memoir, she’s stronger than ever.” —The New York Times The Woman in Me is a brave and astonishingly moving story about freedom, fame, motherhood, survival, faith, and hope. In June 2021, the whole world was listening as Britney Spears spoke in open court. The impact of sharing her voice—her truth—was undeniable, and it changed the course of her life and the lives of countless others. The Woman in Me reveals for the first time her incredible journey—and the strength at the core of one of the greatest performers in pop music history. Written with remarkable candor and humor, Spears’s groundbreaking book illuminates the enduring power of music and love—and the importance of a woman telling her own story, on her own terms, at last.",2023-10-24,Biography & Autobiography,3.86
Elon Musk,Walter Isaacson,"#1 New York Times non-fiction bestseller #2 Sunday Times non-fiction bestseller SHORTLISTED FOR THE FINANCIAL TIMES BUSINESS BOOK OF THE YEAR AWARD CHOSEN AS A BOOK OF THE YEAR BY APPLE, AMAZON, THE TIMES AND FINANCIAL TIMES Epic feats. Epic failures. An epic story. Walter Isaacson charts Elon Musk’s journey from humble beginnings to one of the wealthiest people on the planet – but is Musk a genius or a jerk? From the author of Steve Jobs and other bestselling biographies, this is the astonishingly intimate story of Elon Musk, the most fascinating and controversial innovator of our era – a rule-breaking visionary who helped to lead the world into the era of electric vehicles, private space exploration and artificial intelligence. Oh, and took over Twitter. When Elon Musk was a kid in South Africa, he was regularly beaten by bullies. One day a group pushed him down some concrete steps and kicked him until his face was a swollen ball of flesh. He was in the hospital for a week. But the physical scars were minor compared to the emotional ones inflicted by his father, an engineer, rogue and charismatic fantasist. His father’s impact on his psyche would linger. He developed into a tough yet vulnerable man-child with an exceedingly high tolerance for risk, a craving for drama, an epic sense of mission, and a maniacal intensity that was callous and at times destructive. At the beginning of 2022 – after a year marked by SpaceX launching thirty-one rockets into orbit, Tesla selling a million cars, and him becoming the richest man on earth – Musk spoke ruefully about his compulsion to stir up dramas. ‘I need to shift my mindset away from being in crisis mode, which it has been for about fourteen years now, or arguably most of my life,’ he said. It was a wistful comment, not a New Year’s resolution. Even as he said it, he was secretly buying up shares of Twitter, the world’s ultimate playground. Over the years, whenever he was in a dark place, his mind went back to being bullied on the playground. Now he had the chance to own the playground. For two years, Walter Isaacson had unprecedented access. He shadowed Musk, attended his meetings, walked his factories with him and spent hours interviewing him, his family, friends, coworkers and adversaries. The result is the revealing inside story, filled with amazing tales of triumphs and turmoil, that addresses the question: are the demons that drive Musk also what it takes to drive innovation and progress? The book includes over 100 integrated black and white images.",2023-09-12,Biography & Autobiography,4.00
Outlive,"Peter Attia, Bill Gifford","- THE INSTANT SUNDAY TIMES AND NEW YORK TIMES BESTSELLER, AND OVER 1 MILLION COPIES SOLD GLOBALLY - This is the ultimate manual for living better and longer. For all its successes, mainstream medicine has failed to make much progress against the diseases of ageing that kill most people: heart disease, cancer, Alzheimer's disease, and type 2 diabetes. Too often, it intervenes with treatments too late, prolonging lifespan at the expense of quality of life. Dr Peter Attia, the world's top longevity expert who is featured on Chris Hemsworth's National Geographic documentary LIMITLESS, believes we must replace this outdated framework with a personalised, proactive strategy for longevity. This isn't 'biohacking,' it's science: a well-founded strategic approach to extending lifespan while improving our physical, cognitive and emotional health, making each decade better than the one before. With Outlive's practical advice and roadmap, you can plot a different path for your life, one that lets you outlive your genes to make each decade better than the one before. In the Daily Mail's 'TOP READS OF 2023: Books that will help you feel better for longer' 'One of the most important books you'll ever read.' - Steven D. Levitt, New York Times bestselling author of Freakonomics 'Highlighters at the ready. This is jam packed with things you will wish you had known before. I devoured the audiobook and instantly bought a hard copy to keep on my desk' - Dr Julie Smith, bestselling author of Why Has Nobody Told Me This Before",2023-03-28,Health & Fitness,3.86
Ghosts of Honolulu,Mark Harmon,"NEW YORK TIMES BESTSELLER ""A fast-paced debut...Espionage buffs will savor this vibrant account."" — Publishers Weekly A U.S. naval counterintelligence officer working to safeguard Pearl Harbor; a Japanese spy ordered to Hawaii to gather information on the American fleet. On December 7, 1941, their hidden stories are exposed by a morning of bloodshed that would change the world forever. Scrutinizing long-buried historical documents, NCIS star Mark Harmon and co-author Leon Carroll, a former NCIS Special Agent, have brought forth a true-life NCIS story of deception, discovery, and danger. Hawaii, 1941. War clouds with Japan are gathering and the islands of Hawaii have become battlegrounds of spies, intelligence agents, and military officials - with the island's residents caught between them. Toiling in the shadows are Douglas Wada, the only Japanese American agent in naval intelligence, and Takeo Yoshikawa, a Japanese spy sent to Pearl Harbor to gather information on the U.S. fleet. Douglas Wada's experiences in his native Honolulu include posing undercover as a newspaper reporter, translating wiretaps on the Japanese Consulate, and interrogating America's first captured POW of World War II, a submarine officer found on the beach. Takeo Yoshikawa is a Japanese spy operating as a junior diplomat with the consulate who is collecting vital information that goes straight to Admiral Yamamoto. Their dueling stories anchor Ghosts of Honolulu's gripping depiction of the world-changing cat and mouse games played between Japanese and US military intelligence agents (and a mercenary Nazi) in Hawaii before the outbreak of the second world war. Also caught in the upheaval are Honolulu's innocent residents - including Douglas Wada's father - who endure the war's anti-Japanese fervor and a cadre of intelligence professionals who must prevent Hawaii from adopting the same destructive mass internments as California. Ghosts of Honolulu depicts the incredible high stakes game of naval intelligence and the need to define what is real and what only appears to be real.",2023-11-14,History,3.82
Behind the Seams,Dolly Parton,"'I hope that as you gaze upon my life in clothing, it will inspire you to develop, and celebrate, your own sense of style. I value my freedom to look like and be my own true self more than anything else, and I hope this book will also give you the confidence to look like and be the person you want to be. Whoever you are, be that! And enjoy your journey behind the seams' - Dolly A beautifully illustrated celebration of Dolly Parton's iconic sense of style through entertaining personal stories and 450 full-color photographs, including exclusive images from her private costume archive. In Behind the Seams: My Life in Rhinestones, global superstar Dolly Parton shares, for the first time, the full story behind her lifelong passion for fashion, including how she developed her own, distinctly Dolly style, which has defied convention and endeared her to fans around the world. Featuring behind-the-scenes stories from Dolly Parton's life and career, and the largest reveal of her private costume archive, this gorgeously photographed book spotlights her most unforgettable looks from the 1960s to now. The sky-high heels, famous wigs, bold makeup, eye-catching stage clothes - she shares them all. Along the way, Parton discusses memorable outfits from her past, from the clothes her mother would sew out of feed sacks (including her ""Coat of Many Colors"") and the bold dresses and hairdos that shook up Nashville, to the bunny suit on the cover of Playboy, evening wear at Studio 54, costumes from her most famous film and TV roles, and the daring styles that continue to entertain and inspire today. Filled with candor, humor, and lots and lots of rhinestones, Behind the Seams: My Life in Rhinestones is a shining tribute to one of the most beloved musicians in history, a treasured keepsake for anyone who loves Dolly Parton, and an indispensable guide to forging your own path to beauty and confidence.",2023-10-19,Biography & Autobiography,3.8
My Effin' Life,Geddy Lee,Description non disponible,2023-11,Biography & Autobiography,3.00
Prequel,Rachel Maddow,"#1 NEW YORK TIMES BESTSELLER • Rachel Maddow traces the fight to preserve American democracy back to World War II, when a handful of committed public servants and brave private citizens thwarted far-right plotters trying to steer our nation toward an alliance with the Nazis. “A ripping read—well rendered, fast-paced and delivered with the same punch and assurance that she brings to a broadcast. . . . The parallels to the present day are strong, even startling.”—The New York Times (Editors’ Choice) Inspired by her research for the hit podcast Ultra, Rachel Maddow charts the rise of a wild American strain of authoritarianism that has been alive on the far-right edge of our politics for the better part of a century. Before and even after our troops had begun fighting abroad in World War II, a clandestine network flooded the country with disinformation aimed at sapping the strength of the U.S. war effort and persuading Americans that our natural alliance was with the Axis, not against it. It was a sophisticated and shockingly well-funded campaign to undermine democratic institutions, promote antisemitism, and destroy citizens’ confidence in their elected leaders, with the ultimate goal of overthrowing the U.S. government and installing authoritarian rule. That effort worked—tongue and groove—alongside an ultra-right paramilitary movement that stockpiled bombs and weapons and trained for mass murder and violent insurrection. At the same time, a handful of extraordinary activists and journalists were tracking the scheme, exposing it even as it was unfolding. In 1941 the U.S. Department of Justice finally made a frontal attack, identifying the key plotters, finding their backers, and prosecuting dozens in federal court. None of it went as planned. While the scheme has been remembered in history—if at all—as the work of fringe players, in reality it involved a large number of some of the country’s most influential elected officials. Their interference in law enforcement efforts against the plot is a dark story of the rule of law bending and then breaking under the weight of political intimidation. That failure of the legal system had consequences. The tentacles of that unslain beast have reached forward into our history for decades. But the heroic efforts of the activists, journalists, prosecutors, and regular citizens who sought to expose the insurrectionists also make for a deeply resonant, deeply relevant tale in our own disquieting times.",2023-10-17,Political Science,3.50
Being Henry,Henry Winkler,"From Emmy-award winning actor, author, comedian, producer, and director Henry Winkler, a deeply thoughtful memoir of the lifelong effects of stardom and the struggle to become whole. Henry Winkler, launched into prominence as “The Fonz” in the beloved Happy Days, has transcended the role that made him who he is. Brilliant, funny, and widely-regarded as the nicest man in Hollywood (though he would be the first to tell you that it’s simply not the case, he’s really just grateful to be here), Henry shares in this achingly vulnerable memoir the disheartening truth of his childhood, the difficulties of a life with severe dyslexia, the pressures of a role that takes on a life of its own, and the path forward once your wildest dream seems behind you. Since the glorious era of Happy Days fame, Henry has endeared himself to a new generation with roles in such adored shows as Arrested Development, Parks and Recreation, and Barry, where he’s been revealed as an actor with immense depth and pathos, a departure from the period of his life when he was so distinctly typecast as The Fonz, he could hardly find work. Filled with profound heart, charm, and self-deprecating humor, Being Henry is a memoir about so much more than a life in Hollywood and the curse of stardom. It is a meaningful testament to the power of sharing truth and kindness and of finding fulfillment within yourself.",2023-10-31,Biography & Autobiography,3.85
Democracy Awakening,Heather Cox Richardson,"A New York Times Bestseller A vital and urgent call to action about the precarious state of American democracy, charting its historical challenges and current threats, from one of our era’s most important and insightful historians. “Magisterial.” –The Washington Post “An excellent primer for anyone who needs the important facts of the last 150 years of American history–and how they got us to the sorry place we inhabit today.” –Guardian At a time when the very foundations of American democracy seem under threat, the lessons of the past offer a road map for navigating a moment of political crisis. In Democracy Awakening, acclaimed historian Heather Cox Richardson delves into the tumultuous journey of American democracy, tracing the roots of Donald Trump’s “authoritarian experiment” to the earliest days of the republic. She examines the historical forces that have led to the current political climate, showing how modern conservatism has preyed upon a disaffected population, weaponizing language and promoting false history to consolidate power. With remarkable clarity and the same accessible voice that brings millions to her newsletter, Letters from an American, Richardson wrangles a chaotic news feed into a story that pivots effortlessly from the Founders to the abolitionists to Nixon to the January 6 insurrection. An essential read for anyone concerned about the state of America, Democracy Awakening is more than a history book; it’s a call to action. Richardson reminds us that democracy requires constant vigilance and participation from all of us, showing how we, as a nation, can take the lessons of the past to secure a more just and equitable future.",2023-09-26,History,5.00
Untitled GWAI,Anonymous GWAI,Untitled GWAI by Bill O'Reilly is a forthcoming title from St. Martin's Press.,2023-09-26,History,3.84
Teddy and Booker T.,Brian Kilmeade,"The New York Times bestselling author of George Washington's Secret Six and Thomas Jefferson and the Tripoli Pirates turns to two other heroes of the nation: Theodore Roosevelt and Booker T. Washington. When President Theodore Roosevelt welcomed the country’s most visible Black man, Booker T. Washington, into his circle of counselors in 1901, the two confronted a shocking and violent wave of racist outrage. In the previous decade, Jim Crow laws had legalized discrimination in the South, eroding social and economic gains for former slaves. Lynching was on the rise, and Black Americans faced new barriers to voting. Slavery had been abolished, but if newly freed citizens were condemned to lives as share croppers, how much improvement would their lives really see? In Teddy and Booker T., Brian Kilmeade tells the story of how two wildly different Americans faced the challenge of keeping America moving toward the promise of the Emancipation Proclamation. Theodore Roosevelt was white, born into incredible wealth and privilege in New York City. Booker T. Washington was Black, born on a plantation without even a last name. But both men embodied the rugged, pioneering spirit of America. Kilmeade takes us to San Juan Hill, where Roosevelt led his Rough Riders to a thrilling victory that set the stage for a legendary presidency, and to a small town in Alabama, where Washington founded the first university for African Americans, paving the way for the Civil Rights Movement. Both men abhorred the decadence and moral rot the nation had fallen into, believed that improvement through careful collaboration was possible, and trusted that the American ideals of individual liberty and hard work could propel the neediest toward success, if only those holding them back would step aside. As he did in George Washington's Secret Six, Kilmeade has transformed this nearly forgotten slice of history into a dramatic story that will keep you turning the pages to find out how these two heroes, through their principles and courage, not only changed each other, but helped lay the groundwork for true equality.",2023-11-07,History,3.77
Icebreaker,Hannah Grace,"Patineuse artistique star de l'équipe de Maple Hills, Anastasia Allen vit pour gagner. Son emploi du temps plus chargé que celui d’un ministre ne tourne qu’autour de son sport, laissant peu de place à l’imprévu. Nathan Hawkins, lui, n'a jamais rencontré de problème qu'il ne pouvait pas résoudre. Et en tant que capitaine de l’équipe de hockey, il sait que sa responsabilité est de maintenir l’équipe soudée. Ils ne s’étaient jamais croisés, mais lorsque la patinoire pour le hockey est détruite à la suite d’un malentendu, les deux équipes doivent s’adapter pour partager une seule et même patinoire. Stassie est plus qu’énervée contre cette équipe de hockey qui dérange son planning, mais surtout contre Nate, le capitaine aux larges épaules et au sourire facile en qui elle n’a aucune confiance. A l’inverse, Nate est immédiatement charmé par la furie qui le foudroie du regard à chaque occasion. Mais qu’importe, Stassie est immune au charme des hockeyeurs. N’est-ce pas ?",2023-05-22,Fiction,3.82
All the Light We Cannot See,Anthony Doerr,"*COMING IN NOVEMBER AS A NETFLIX LIMITED SERIES—from producer and director Shawn Levy (Stranger Things) starring Mark Ruffalo, Hugh Laurie, and newcomer Aria Mia Loberti* Winner of the Pulitzer Prize and National Book Award finalist, the beloved instant New York Times bestseller and New York Times Book Review Top 10 Book about a blind French girl and a German boy whose paths collide in occupied France as both try to survive the devastation of World War II. Marie-Laure lives with her father in Paris near the Museum of Natural History where he works as the master of its thousands of locks. When she is six, Marie-Laure goes blind and her father builds a perfect miniature of their neighborhood so she can memorize it by touch and navigate her way home. When she is twelve, the Nazis occupy Paris, and father and daughter flee to the walled citadel of Saint-Malo, where Marie-Laure’s reclusive great uncle lives in a tall house by the sea. With them they carry what might be the museum’s most valuable and dangerous jewel. In a mining town in Germany, the orphan Werner grows up with his younger sister, enchanted by a crude radio they find. Werner becomes an expert at building and fixing these crucial new instruments, a talent that wins him a place at a brutal academy for Hitler Youth, then a special assignment to track the Resistance. More and more aware of the human cost of his intelligence, Werner travels through the heart of the war and, finally, into Saint-Malo, where his story and Marie-Laure’s converge. Doerr’s “stunning sense of physical detail and gorgeous metaphors” (San Francisco Chronicle) are dazzling. Deftly interweaving the lives of Marie-Laure and Werner, he illuminates the ways, against all odds, people try to be good to one another. Ten years in the writing, All the Light We Cannot See is a magnificent, deeply moving novel from a writer “whose sentences never fail to thrill” (Los Angeles Times).",2023-10-03,Fiction,4.05
Twisted Love - Tome 1,Ana Huang,"Il a un cœur de glace... mais pour elle, il brûlerait le monde. Alex Volkov est un diable doté d’un visage d’ange. Poussé par une tragédie qui l’a hanté pendant la majeure partie de sa vie, sa quête impitoyable de succès et de vengeance laisse peu de place aux affaires de cœur. Mais quand il est contraint de s’occuper de la sœur de son meilleur ami, il commence à sentir quelque chose dans sa poitrine : Une fissure. Une fissure. Un feu. Un feu qui pourrait mettre fin au monde dans lequel il a toujours évolué. Ava Chen est un esprit libre piégé par les cauchemars d’une enfance dont elle ne se souvient pas. Mais malgré son passé brisé, elle n’a jamais cessé de voir la beauté dans le monde... y compris le cœur sous le visage froid d’un homme qu’elle ne devrait pas désirer : Le meilleur ami de son frère. Son voisin. Son sauveur et sa perte. Quand leur histoire commence à prendre forme, elle révèle des secrets qui pourraient les détruire tous les deux... et tout ce qui leur est cher.",2023-10-18,Fiction,3.72
The Midnight Library,Matt Haig,"Somewhere out beyond the edge of the universe there is a library that contains an infinite number of books, each one the story of another reality. One tells the story of your life as it is, along with another book for the other life you could have lived if you had made a different choice at any point in your life. While we all wonder how our lives might have been, what if you had the chance to go to the library and see for yourself? Would any of these other lives truly be better?",2023-10-04,Fiction,4.06
The House in the Pines,Ana Reyes,"A REESE WITHERSPOON BOOK CLUB PICK A NEW YORK TIMES BESTSELLER 'AN ABSOLUTE, CAN'T-PUT-IT-DOWN THRILLER' Reese Witherspoon (Reese's Book Club Jan '23 Pick) 'I READ IN A SINGLE SITTING, TOTALLY ENTHRALLED' Lisa Gardner, Sunday Times bestselling author of One Step Too Far 'EERIE AND ATMOSPHERIC' Riley Sager, New York Times bestselling author of The House Across the Lake 'CREEPY' The Times 'SUPERB' M. W. Craven, Sunday Times bestselling author of The Botanist 'CHILLED ME TO THE BONE' Andrea Bartz, author of Reese's Book Club pick We Were Never Here ________ Maya is still haunted by the cabin - deep in the woods, where the trees are so dense it's easy to miss. She hasn't been there since the summer she was seventeen. Since the day her best friend Aubrey died and Maya's world shattered. Maya's memories of that summer are fragmented, but there is one thing she knows for sure, and that's who murdered Aubrey. Even if no one believes her. Now, seven years later, another woman from their hometown has died in the same strange, unexplained way. Maya knows only she can uncover the truth and save the next innocent girl. But to do that she'll have to go back - back to the forest, back to the house in the pines . . .",2023-01-03,Fiction,3.00
Killers of the Flower Moon,David Grann,"1921. Les guerres indiennes sont loin. Leurs survivants ont, pour la plupart, été parqués dans des réserves où ils végètent, misérables, abandonnés à leur sort. Une exception à cette règle : le peuple osage. Il s’est vu attribuer un territoire minéral aux confins de l’Oklahoma. Or ces rochers recouvrent le plus grand gisement de pétrole des États-Unis. Les Osages sont millionnaires, roulent en voitures haut de gamme, envoient leurs enfants dans les plus prestigieuses universités et se font servir par des domestiques blancs. Un jour, deux membres de la tribu disparaissent. Un corps est retrouvé, une balle dans la tête. Puis une femme meurt empoisonnée. Et une autre. Plus tard, une maison explose. Qui commet ces assassinats ? Qui a intérêt à terroriser les riches Osages ? Les premières enquêtes, locales, sont bâclées ; elles piétinent. C’est pourquoi, après une nouvelle série noire, ce dossier brûlant est confié au BOI (Bureau of Investigation, qui deviendra le FBI en 1935). À sa tête, un très jeune homme. Son nom est Edgar J. Hoover. Il veut deux choses. La première : faire toute la lumière sur cette sombre affaire, et il s’en donne les moyens – enquêteurs hors pair, méthodes rigoureuses de police scientifique, mise en fiche de la moindre information. La seconde : le pouvoir. Surtout le pouvoir.",2023-10-05T00:00:00+02:00,Literary Collections,4.38
