title,authors,description,average_rating,published_date,categories
The Women,Kristin Hannah,"An instant Sunday Times bestseller and soon to be a major motion picture! 'Astonishing. Compelling. Powerful' – Delia Owens, bestselling author of Where the Crawdads Sing 'Stuns with sacrifice. Uplifts with heroism' – Bonnie Garmus, bestselling author of Lessons in Chemistry ‘Powerful’ – Matt Haig, bestselling author of The Midnight Library From the worldwide bestselling author of The Four Winds, The Nightingale and Firefly Lane (a Number One series on Netflix), The Women is a story of devastating loss and epic love. It would be the journey of a lifetime . . . ‘Women can be heroes, too’. When twenty-year-old nursing student, Frances “Frankie” McGrath, hears these unexpected words, it is a revelation. Raised on California’s idyllic Coronado Island and sheltered by her conservative parents, she has always prided herself on doing the right thing, being a good girl. But in 1965 the world is changing, and she suddenly imagines a different path for her life. When her brother ships out to serve in Vietnam, she impulsively joins the Army Nurses Corps and follows his path. As green and inexperienced as the young men sent to Vietnam to fight, Frankie is overwhelmed by the chaos and destruction of war, as well as the unexpected trauma of coming home to a changed America. Frankie will also discover the true value of female friendship and the heartbreak that love can cause. Readers love The Women: 'It honours ALL women: those who have fought for their rights and freedoms, those who have been overlooked and underappreciated, those who have been forgotten by families and society' 'I’ve been looking forward to this book’s release for months' 'Kristin Hannah has done it again'",Note non disponible,2024-02-15,Fiction
Here One Moment,Liane Moriarty,"“A riveting story so wild you don’t know how she’ll land it, and then she does, on a dime.”—Anne Lamott, #1 New York Times bestselling author If you knew your future, would you try to fight fate? Aside from a delay, there will be no problems. The flight will be smooth, it will land safely. Everyone who gets on the plane will get off. But almost all of them will be forever changed. Because on this ordinary, short, domestic flight, something extraordinary happens. People learn how and when they are going to die. For some, their death is far in the future—age 103!—and they laugh. But for six passengers, their predicted deaths are not far away at all. How do they know this? There were ostensibly more interesting people on the flight (the bride and groom, the jittery, possibly famous woman, the giant Hemsworth-esque guy who looks like an off-duty superhero, the frazzled, gorgeous flight attendant) but none would become as famous as “The Death Lady.” Not a single passenger or crew member will later recall noticing her board the plane. She wasn’t exceptionally old or young, rude or polite. She wasn’t drunk or nervous or pregnant. Her appearance and demeanor were unremarkable. But what she did on that flight was truly remarkable. A few months later, one passenger dies exactly as she predicted. Then two more passengers die, again, as she said they would. Soon no one is thinking this is simply an entertaining story at a cocktail party. If you were told you only had a certain amount of time left to live, would you do things differently? Would you try to dodge your destiny? Liane Moriarty’s Here One Moment is a brilliantly constructed tale that looks at free will and destiny, grief and love, and the endless struggle to maintain certainty and control in an uncertain world. A modern-day Jane Austen who humorously skewers social mores while spinning a web of mystery, Moriarty asks profound questions in her newest I-can’t-wait-to-find-out-what-happens novel.",Note non disponible,2024-09-10,Fiction
Somewhere Beyond the Sea,TJ Klune,"Somewhere Beyond the Sea is the hugely-anticipated sequel to TJ Klune's The House in the Cerulean Sea, one of the best-loved and best-selling fantasy novels of the past decade. A magical house. A secret past. A summons that could change everything. Arthur Parnassus lives a good life built on the ashes of a bad one. He’s the headmaster of a strange orphanage on a distant and peculiar island, and he hopes to soon be the adoptive father to the six dangerous and magical children who live there. Arthur works hard and loves with his whole heart so none of the children ever feel the neglect and pain that he once felt as an orphan on that very same island so long ago. He is not alone: joining him is the love of his life, Linus Baker, a former caseworker in the Department In Charge of Magical Youth. And there's the island's sprite, Zoe Chapelwhite, and her girlfriend, Mayor Helen Webb. Together, they will do anything to protect the children. But when Arthur is summoned to make a public statement about his dark past, he finds himself at the helm of a fight for the future that his family, and all magical people, deserve. And when a new magical child hopes to join them on their island home—one who finds power in calling himself monster, a name that Arthur worked so hard to protect his children from—Arthur knows they’re at a breaking point: their family will either grow stronger than ever or fall apart. Welcome back to Marsyas Island. This is Arthur’s story. Somewhere Beyond the Sea is a story of resistance, lovingly told, about the daunting experience of fighting for the life you want to live and doing the work to keep it. At the Publisher's request, this title is being sold without Digital Rights Management Software (DRM) applied.",Note non disponible,2024-09-10,Fiction
The Games Gods Play (Standard Edition),Abigail Owen,"""I have never been favored by the gods. Far from it, thanks to Zeus. Living as a cursed office clerk for the Order of Thieves, I just keep my head down and hope the capricious beings who rule from Olympus won't notice me. Not an easy feat, given San Francisco is Zeus' patron city, but I make do. Until the night I tangle with a different god--the worst god. Hades. For the first time ever, the ruthless, mercurial King of the Underworld has entered the Crucible--the deadly contest the gods hold to determine a new ruler to sit on the throne of Olympus. But instead of fighting their own battles, the gods name mortals to compete in their stead. So why in the Underworld did Hades choose me--a sarcastic nobody with a curse on her shoulders--as his champion? And why does my heart trip every time he says I'm his?""--",Note non disponible,2024-09-03,Fiction
The Night We Lost Him,Laura Dave,"Named A Most Anticipated Book of the Fall by Time, Goodreads, and Brit + Co An Oprah Daily Best New Thriller In this riveting novel from the #1 New York Times bestselling author of The Last Thing He Told Me, estranged siblings discover their father has been keeping a secret for more than fifty years, one that may have been fatal... Liame Noone was many things to many people. To the public, he was an exacting, self-made hotel magnate fleeing his past. To his three ex-wives, he was a loving albeit distant family man who kept his finances flush and his families carefully separated. To Nora, he was a father who often loved her from afar—notably, a cliffside cottage perched on the California coast where he fell to his death. The authorities rule the death accidental, but Nora and her estranged brother Sam have other ideas. As Nora and Sam form an uneasy alliance to unravel the mystery, they start putting together the pieces of their father’s past and uncover a family secret that changes everything. With Laura Dave’s trademark blend of soulful suspense and evocative family drama, The Night We Lost Him is a riveting page-turner with a heartbreaking final twist that you will never see coming.",Note non disponible,2024-09-17,Fiction
The Life Impossible,Matt Haig,"The remarkable new novel from the author of the multimillion-selling international sensation The Midnight Library 'A beautiful novel full of life-affirming wonder and imagination' BENEDICT CUMBERBATCH 'What looks like magic is simply a part of life we don't understand yet . . .' When retired Maths teacher Grace Winters is left a run-down house on a Mediterranean island by a long-lost friend, curiosity gets the better of her. She arrives in Ibiza with a one-way ticket, no guidebook and no plan. Among the rugged hills and golden beaches of the Balearics Grace searches for answers about her friend's life, and how it ended. What she uncovers is stranger than she could have dreamed. But to dive into this impossible truth, Grace must first come to terms with her past. Filled with wonder and wild adventure, this is a story of hope and the life-changing power of a new beginning.",Note non disponible,2024-08-29,Fiction
Tell Me Everything: Oprah's Book Club,Elizabeth Strout,"OPRAH’S BOOK CLUB PICK • From Pulitzer Prize–winning author Elizabeth Strout comes a “generous, compassionate novel” (San Francisco Chronicle) about new friendships, old loves, and the very human desire to leave a mark on the world. “A rich tapestry, intricately wrought yet effortlessly realized, both suspenseful and meditative.”—The Boston Globe With her remarkable insight into the human condition and silences that contain multitudes, Elizabeth Strout returns to the town of Crosby, Maine, and to her beloved cast of characters—Lucy Barton, Olive Kitteridge, Bob Burgess, and more—as they deal with a shocking crime in their midst, fall in love and yet choose to be apart, and grapple with the question, as Lucy Barton puts it, “What does anyone’s life mean?” It’s autumn in Maine, and the town lawyer Bob Burgess has become enmeshed in an unfolding murder investigation, defending a lonely, isolated man accused of killing his mother. He has also fallen into a deep and abiding friendship with the acclaimed writer Lucy Barton, who lives down the road in a house by the sea with her ex-husband, William. Together, Lucy and Bob go on walks and talk about their lives, their fears and regrets, and what might have been. Lucy, meanwhile, is finally introduced to the iconic Olive Kitteridge, now living in a retirement community on the edge of town. They spend afternoons together in Olive’s apartment, telling each other stories. Stories about people they have known—“unrecorded lives,” Olive calls them—reanimating them, and, in the process, imbuing their lives with meaning. Brimming with empathy and pathos, Tell Me Everything is Elizabeth Strout operating at the height of her powers, illuminating the ways in which our relationships keep us afloat. As Lucy says, “Love comes in so many different forms, but it is always love.”",Note non disponible,2024-09-10,Fiction
"To Sir Phillip, with Love and When He Was Wicked: Bridgerton Collector's Edition",Julia Quinn,"A stunning collectible edition containing the fifth and sixth novels in #1 New York Times bestselling author Julia Quinn's beloved Bridgerton series. This edition features: gorgeous sprayed edges intricate foil iconography ribbon bookmark beautiful endpapers ELOISE'S STORY Sir Phillip knew that Eloise Bridgerton was a spinster, and so he'd proposed, figuring that she'd be homely and unassuming, and more than a little desperate for an offer of marriage. Except . . . she wasn't. The beautiful woman on his doorstep was anything but quiet, and when she stopped talking long enough to close her mouth, all he wanted to do was kiss her . . . and more. Did he think she was mad? Eloise Bridgerton couldn't marry a man she had never met! But then she started thinking . . . and wondering . . . and before she knew it, she was in a hired carriage in the middle of the night, on her way to meet the man she hoped might be her perfect match. Except . . . he wasn't. Her perfect husband wouldn't be so moody and ill-mannered, and while Phillip was certainly handsome, he was a large brute of a man, rough and rugged, and totally unlike the London gentlemen vying for her hand. But when he smiled . . . and when he kissed her . . . the rest of the world simply fell away, and she couldn't help but wonder . . . could this imperfect man be perfect for her? FRANCESCA'S STORY In every life there is a turning point. A moment so tremendous, so sharp and breathtaking, that one knows one's life will never be the same. For Michael Stirling, London's most infamous rake, that moment came the first time he laid eyes on Francesca Bridgerton. After a lifetime of chasing women, of smiling slyly as they chased him, of allowing himself to be caught but never permitting his heart to become engaged, he took one look at Francesca Bridgerton and fell so fast and hard into love it was a wonder he managed to remain standing. Unfortunately for Michael, however, Francesca's surname was to remain Bridgerton for only a mere thirty-six hours longer--the occasion of their meeting was, lamentably, a supper celebrating her imminent wedding to his cousin. But that was then . . . Now Michael is the earl and Francesca is free, but still she thinks of him as nothing other than her dear friend and confidant. Michael dares not speak to her of his love . . . until one dangerous night, when she steps innocently into his arms, and passion proves stronger than even the most wicked of secrets . . .",Note non disponible,2024-09-03,Fiction
The God of the Woods,Liz Moore,"""Riveting from page one to the last breathless word.""—Rebecca Makkai, New York Times bestselling author of I Have Some Questions For You “Brilliant, riveting .. an epic mystery, a family saga and a survival guide...I loved this book.” —Miranda Cowley Heller, #1 New York Times bestselling author of The Paper Palace When a teenager vanishes from her Adirondack summer camp, two worlds collide Early morning, August 1975: a camp counselor discovers an empty bunk. Its occupant, Barbara Van Laar, has gone missing. Barbara isn’t just any thirteen-year-old: she’s the daughter of the family that owns the summer camp and employs most of the region’s residents. And this isn’t the first time a Van Laar child has disappeared. Barbara’s older brother similarly vanished fourteen years ago, never to be found. As a panicked search begins, a thrilling drama unfolds. Chasing down the layered secrets of the Van Laar family and the blue-collar community working in its shadow, Moore’s multi-threaded story invites readers into a rich and gripping dynasty of secrets and second chances. It is Liz Moore’s most ambitious and wide-reaching novel yet.",Note non disponible,2024-07-02,Fiction
By Any Other Name,Jodi Picoult,"#1 NEW YORK TIMES BESTSELLER • From the co-author of Mad Honey comes an “inspiring” (Elle) novel about two women, centuries apart—one of whom is the real author of Shakespeare’s plays—who are both forced to hide behind another name. “You’ll fall in love with Emilia Bassano, the unforgettable heroine based on a real woman that Picoult brings vividly to life in her brilliantly researched new novel.”—Kristin Hannah, author of The Women Young playwright Melina Green has just written a new work inspired by the life of her Elizabethan ancestor Emilia Bassano. But seeing it performed is unlikely, in a theater world where the playing field isn’t level for women. As Melina wonders if she dares risk failure again, her best friend takes the decision out of her hands and submits the play to a festival under a male pseudonym. In 1581, young Emilia Bassano is a ward of English aristocrats. Her lessons on languages, history, and writing have endowed her with a sharp wit and a gift for storytelling, but like most women of her day, she is allowed no voice of her own. Forced to become a mistress to the Lord Chamberlain, who oversees all theatre productions in England, Emilia sees firsthand how the words of playwrights can move an audience. She begins to form a plan to secretly bring a play of her own to the stage—by paying an actor named William Shakespeare to front her work. Told in intertwining timelines, By Any Other Name, a sweeping tale of ambition, courage, and desire centers two women who are determined to create something beautiful despite the prejudices they face. Should a writer do whatever it takes to see her story live on . . . no matter the cost? This remarkable novel, rooted in primary historical sources, ensures the name Emilia Bassano will no longer be forgotten.",Note non disponible,2024-08-20,Fiction
It's in His Kiss and on the Way to the Wedding: Bridgerton Collector's Edition,Julia Quinn,"A stunning collectible edition containing the seventh and eighth novels in #1 New York Times bestselling author Julia Quinn's beloved Bridgerton series. This edition features: gorgeous sprayed edges intricate foil iconography ribbon bookmark beautiful endpapers HYACINTH'S STORY Meet Our Hero . . . Gareth St. Clair is in a bind. His father, who detests him, is determined to beggar the St. Clair estates and ruin his inheritance. Gareth's sole bequest is an old family diary, which may or may not contain the secrets of his past . . . and the key to his future. The problem is--it's written in Italian, of which Gareth speaks not a word. Meet Our Heroine . . . All the ton agreed: there was no one quite like Hyacinth Bridgerton. She's fiendishly smart, devilishly outspoken, and according to Gareth, probably best in small doses. But there's something about her--something charming and vexing--that grabs him and won't quite let go . . . Meet Poor Mr. Mozart . . . Or don't. But rest assured, he's spinning in his grave when Gareth and Hyacinth cross paths at the annual--and annually discordant--Smythe-Smith musicale. To Hyacinth, Gareth's every word seems a dare, and she offers to translate his diary, even though her Italian is slightly less than perfect. But as they delve into the mysterious text, they discover that the answers they seek lie not in the diary, but in each other . . . and that there is nothing as simple--or as complicated--as a single, perfect kiss. GREGORY'S STORY Unlike most men of his acquaintance, Gregory Bridgerton believes in true love. And he is convinced that when he finds the woman of his dreams, he will know in an instant that she is the one. And that is exactly what happened. Except ... She wasn't the one. In fact, the ravishing Miss Hermione Watson is in love with another. But her best friend, the ever-practical Lady Lucinda Abernathy, wants to save Hermione from a disastrous alliance, so she offers to help Gregory win her over. But in the process, Lucy falls in love. With Gregory! Except ... Lucy is engaged. And her uncle is not inclined to let her back out of the betrothal, even once Gregory comes to his senses and realizes that it is Lucy, with her sharp wit and sunny smile, who makes his heart sing. And now, on the way to the wedding, Gregory must risk everything to ensure that when it comes time to kiss the bride, he is the only man standing at the altar ...",Note non disponible,2024-09-03,Fiction
Fourth wing - Tome 1,Rebecca Yarros,"Passer toutes les épreuves... ou mourir ! Rien ne prédestinait Violet Sorrengail à être une cavalière. Elle était censée intégrer le quadrant des Scribes et mener une vie tranquille parmi les livres. Elle dont les os sont si fragiles qu’ils peuvent se briser en un instant... Mais aujourd’hui est le jour des conscriptions, et en tant que fille de la Générale - elle-même cavalière et dresseuse de dragons -, Violet n’a d’autre choix que de satisfaire les ordres de sa mère, et de rejoindre les épreuves de sélection pour devenir dragonnière... L’élite de la Navarre ! Pourtant, le simple fait d’envisager s’inscrire à cette compétition lui paraît ridicule... Car les dragons ne se lient pas aux humains « fragiles » : ils les brûlent ! Mais Violet est peut-être la candidate la moins forte physiquement, elle est cependant rusée et rapide. Des qualités indispensables quand on évolue dans un monde sans foi ni loi, où les alliés peuvent vite devenir des ennemis, ou peut-être encore des conquêtes... Violet va vite devoir penser à un plan solide, car cette compétition n’a que deux issues : passer toutes les épreuves ou mourir ! ""Une fantasy comme vous n'en avez jamais lu auparavant."" Jennifer L. Armentrout, auteure #1 New York Times bestseller ""J'ai applaudi, j'ai ri, j'ai souri, j'ai réfusé de poser ce livre."" Lexi Ryan, auteure #1 New York Times bestseller ""Les lecteur.rices seront envoûtés et impatients d'en savoir plus."" Publishers Weekly",Note non disponible,2024-02-07,Fiction
"Something Lost, Something Gained",Hillary Rodham Clinton,"What would it be like to sit down for an impassioned, entertaining conversation with Hillary Clinton? In Something Lost, Something Gained, Hillary offers her candid views on life and love, politics, liberty, democracy, the threats we face, and the future within our reach. She describes the strength she draws from her deepest friendships, her Methodist faith, and the nearly fifty years she’s been married to President Bill Clinton—all with the wisdom that comes from looking back on a full life with fresh eyes. She takes us along as she returns to the classroom as a college professor, enjoys the bonds inside the exclusive club of former First Ladies, moves past her dream of being president, and dives into new activism for women and democracy. From canoeing with an ex-Nazi trying to deprogram white supremacists to sweltering with salt farmers in the desert trying to adapt to the climate crisis in India, Hillary brings us to the front lines of our biggest challenges. For the first time, Hillary shares the story of her operation to evacuate Afghan women to safety in the harrowing final days of America’s longest war. But we also meet the brave women dissidents defying dictators around the world, gain new personal insights about her old adversary Vladimir Putin, and learn the best ways that worried parents can protect kids from toxic technology. We also hear her fervent and persuasive warning to all American voters. In the end, Something Lost, Something Gained is a testament to the idea that the personal is political, and the political is personal, providing a blueprint for what each of us can do to make our lives better. Hillary has “looked at life from both sides now.” In these pages, she shares the latest chapter of her inspiring life and shows us how to age with grace and keep moving forward, with grit, joy, purpose, and a sense of humor.",Note non disponible,2024-09-18,Political Science
Confronting the Presidents,"Bill O'Reilly, Martin Dugard","Every American president, from Washington to Biden: Their lives, policies, foibles, and legacies, assessed with clear-eyed authority and wit. Authors of the acclaimed Killing books, the #1 bestselling narrative history series in the world, Bill O’Reilly and Martin Dugard begin a new direction with Confronting the Presidents. From Washington to Jefferson, Lincoln to Franklin Delano Roosevelt, Kennedy to Nixon, Reagan to Obama and Biden, the 45 United States presidents have left lasting impacts on our nation. Some of their legacies continue today, some are justly forgotten, and some have changed as America has changed. Whether famous, infamous, or obscure, all the presidents shaped our nation in unexpected ways. The authors' extensive research has uncovered never before seen historical facts based on private correspondence and newly discovered documentation, such as George Washington's troubled relationship with his mother. In Confronting the Presidents, O’Reilly and Dugard present 45 wonderfully entertaining and insightful portraits of each president, with no-spin commentary on their achievements—or lack thereof. Who best served America, and who undermined the founding ideals? Who were the first ladies, and what were their surprising roles in making history? Which presidents were the best, which the worst, and which didn’t have much impact? How do decisions made in one era, under the pressure of particular circumstances, still resonate today? And what do presidents like to eat, drink, and do when they aren’t working—or even sometimes when they are? These and many more questions are answered in each fascinating chapter of Confronting the Presidents. Written with O’Reilly and Dugard’s signature style, authority, and eye for telling detail, Confronting the Presidents will delight all readers of history, politics, and current affairs, especially during the 2024 election season.",Note non disponible,2024-09-10,History
The Third Gilmore Girl,Kelly Bishop,"'A remarkable person with remarkable stories to tell' Lauren Graham | 'I loved it!' Priscilla Lopez | 'Bold, unapologetic and inspiring' Sutton Foster Beloved award-winning actress Kelly Bishop, famous for playing the iconic Emily Gilmore in Gilmore Girls, finally tells the whole story of her six decades in show business in this long-awaited, candid, wise and captivating memoir. Kelly Bishop’s storied career has been defined by landmark achievements, from winning a Tony Award for her turn in the original Broadway cast of A Chorus Line to her memorable performance as Jennifer Grey’s mother in Dirty Dancing, but it is probably her role as matriarch Emily in the modern classic Gilmore Girls that cemented her legacy. Now, Bishop reflects on her remarkable life and looks towards the future, sharing some of her greatest stories and the life lessons she’s learned on her journey. From her early transition from dance to drama, to marrying young to a compulsive gambler, to the losses and achievements she experienced—among them marching for women’s rights and losing her second husband to cancer—Bishop offers a rich, genuine celebration of her life. Full of witty insights and featuring a special collection of personal and professional photographs, The Third Gilmore Girl is a warm, unapologetic, and powerful memoir from a woman who has left indelible impressions on her audiences for decades and has no plans on slowing down.",Note non disponible,2024-09-19,Biography & Autobiography
The Anxious Generation,Jonathan Haidt,"THE INSTANT #1 NEW YORK TIMES BESTSELLER From New York Times bestselling coauthor of The Coddling of the American Mind, an essential investigation into the collapse of youth mental health—and a plan for a healthier, freer childhood. “Erudite, engaging, combative, crusading.” —New York Times Book Review “Words that chill the parental heart… thanks to Mr. Haidt, we can glimpse the true horror of what happened not only in the U.S. but also elsewhere in the English-speaking world… lucid, memorable… galvanizing.” —Wall Street Journal ""[An] important new book...The shift in kids’ energy and attention from the physical world to the virtual one, Haidt shows, has been catastrophic, especially for girls."" —Michelle Goldberg, The New York Times After more than a decade of stability or improvement, the mental health of adolescents plunged in the early 2010s. Rates of depression, anxiety, self-harm, and suicide rose sharply, more than doubling on many measures. Why? In The Anxious Generation, social psychologist Jonathan Haidt lays out the facts about the epidemic of teen mental illness that hit many countries at the same time. He then investigates the nature of childhood, including why children need play and independent exploration to mature into competent, thriving adults. Haidt shows how the “play-based childhood” began to decline in the 1980s, and how it was finally wiped out by the arrival of the “phone-based childhood” in the early 2010s. He presents more than a dozen mechanisms by which this “great rewiring of childhood” has interfered with children’s social and neurological development, covering everything from sleep deprivation to attention fragmentation, addiction, loneliness, social contagion, social comparison, and perfectionism. He explains why social media damages girls more than boys and why boys have been withdrawing from the real world into the virtual world, with disastrous consequences for themselves, their families, and their societies. Most important, Haidt issues a clear call to action. He diagnoses the “collective action problems” that trap us, and then proposes four simple rules that might set us free. He describes steps that parents, teachers, schools, tech companies, and governments can take to end the epidemic of mental illness and restore a more humane childhood. Haidt has spent his career speaking truth backed by data in the most difficult landscapes—communities polarized by politics and religion, campuses battling culture wars, and now the public health emergency faced by Gen Z. We cannot afford to ignore his findings about protecting our children—and ourselves—from the psychological damage of a phone-based life.",Note non disponible,2024-03-26,Psychology
On Freedom,Timothy Snyder,"Freedom is not just an absence of evil but a presence of good. The moment you believe freedom is given, it is gone. There is no freedom without solidarity; freedom for you means freedom for me. ‘In these hard times for liberty, On Freedom makes the case that freedom, once explored and understood, is the way forward’ PRESIDENT ZELENSKY From the acclaimed, bestselling author of On Tyranny comes a brilliant exploration of freedom – what it is, how it’s been misunderstood, and why it’s our only chance for survival. Freedom is our great commitment, but we have lost sight of what it means – leading us into crisis. Too many of us look at freedom as the absence of state power: we think we’re free if we can do and say as we please. But true freedom isn’t so much freedom from, as freedom to – the freedom to thrive, to take risks for futures we choose by working together. Freedom is the value that makes all other values possible. Drawing on the work of philosophers and political dissidents, conversations with contemporary thinkers and his own experiences, Snyder identifies the practices and attitudes that will allow us to design a government in which we and future generations can flourish. Intimate yet ambitious, this book forges a new consensus rooted in a politics of abundance, generosity and grace. On Tyranny inspired millions around the world to fight for freedom; On Freedom helps us see exactly what we’re fighting for. It is a thrilling intellectual journey and a tour de force of political philosophy. ‘Everyone who cares about freedom should read this book’ ANNE APPLEBAUM ‘Passionate, intimate, compelling – a clarion call’ PHILIPPE SANDS",Note non disponible,2024-09-19,Philosophy
Nexus,Yuval Noah Harari,"Les histoires nous ont réunis. Les livres ont diffusé nos idées et nos mythologies. Internet nous a promis le savoir infini. Les algorithmes ont découvert nos secrets - et nous ont divisés. Quel monde nous promet l’IA ? Depuis cent mille ans, nous, les Sapiens, avons acquis un gigantesque pouvoir. Mais malgré nos découvertes, inventions et conquêtes, nous sommes aujourd’hui confrontés à une crise existentielle inédite. Le monde est au bord de l’effondrement écologique. Les tensions politiques se multiplient. La désinformation abonde. Et nous entrons de plain-pied dans l’ère de l’IA, un réseau d’information qui sera bientôt capable de nous dominer. Avec ce nouvel ouvrage, Yuval Noah Harari, l’auteur du best-seller mondial Sapiens, revisite l’histoire de l’humanité pour comprendre comment les réseaux d’information ont fait et défait notre monde. Il aborde les choix cruciaux auxquels nous sommes - et serons - confrontés, au moment où l’IA révolutionne la médecine, la guerre, les démocraties, et menace notre existence même. Nexus est un livre capital pour comprendre comment, en faisant des choix éclairés, il nous est encore possible d’empêcher le pire.",Note non disponible,2024-09-25,History
Lucky Loser,"Russ Buettner, Susanne Craig","From the Pulitzer Prize-winning reporters behind the 2018 bombshell New York Times exposé of then-President Trump’s finances, an explosive investigation into the history of Donald Trump’s wealth, revealing how one of the country’s biggest business failures lied his way into the White House Soon after announcing his first campaign for the US presidency, Donald J. Trump told a national television audience that life “has not been easy for me. It has not been easy for me.” Building on a narrative he had been telling for decades, he spun a hardscrabble fable of how he parlayed a small loan from his father into a multi-billion-dollar business and real estate empire. This feat, he argued, made him singularly qualified to lead the country. Except: None of it was true. Born to a rich father who made him the beneficiary of his own highly lucrative investments, Trump received the equivalent of more than $500 million today via means that required no business expertise whatsoever. Drawing on over twenty years’ worth of Trump’s confidential tax information, including the tax returns he tried to conceal, alongside business records and interviews with Trump insiders, New York Times investigative reporters Russ Buettner and Susanne Craig track Trump's financial rise and fall, and rise and fall again. For decades, he squanders his fortunes on money losing businesses, only to be saved yet again by financial serendipity. He tacks his name above the door of every building, while taking out huge loans he’ll never repay. He obsesses over appearances, while ignoring threats to the bottom line and mounting costly lawsuits against city officials. He tarnishes the value of his name by allowing anyone with a big enough check to use it, and cheats the television producer who not only rescues him from bankruptcy but casts him as a business savant – the public image that will carry him to the White House. A masterpiece of narrative reporting, Lucky Loser is a meticulous, nearly-century spanning narrative, filled with scoops from Trump Tower, Mar-a-Lago, Atlantic City, and the set of The Apprentice. At a moment when Trump’s tether to success and power is more precarious than ever, here for the first time is the definitive true accounting of Trump and his money – what he had, what he lost, and what he has left – and the final word on the myth of Trump, the self-made billionaire.",Note non disponible,2024-09-17,Biography & Autobiography
Want,Auteur non disponible,"A collection of women's sexual fantasies from women around the world, Want is a revelatory, sensational and game-changing exploration of women's sexuality that asks, and answers: How do women feel about sex when they have the freedom to be totally anonymous? What do you want when no one is watching? Who do you fantasize about when the lights are off? When you think about sex, what do you really want? When we talk about sex, we talk about womanhood and motherhood, infidelity and exploitation, consent and respect, fairness and egalitarianism, love and hate, pleasure and pain. And yet so many of us don't talk about it at all. In this groundbreaking book, Gillian Anderson collects and introduces the anonymous sexual fantasies of hundreds of women from around the world (along with her own anonymous fantasy). The fantasies are extraordinary: they are full of desire, fear, intimacy, shame, satisfaction and, ultimately, liberation. From fantasising about someone off-limits to conjuring a scene with multiple partners, from sex that is gentle and tender to passionate and playful, from women who have never had sex to women who have had more sex than they can remember, these letters provide a window into the most secret part of our minds. Want reveals how women feel about sex when they have the freedom to be totally themselves.",Note non disponible,2024-09-17,Social Science
Lovely One,Ketanji Brown Jackson,"In her inspiring, intimate memoir, the first Black woman to ever be appointed to the Supreme Court of the United States chronicles her extraordinary life story. With this unflinching account, Justice Ketanji Brown Jackson invites readers into her life and world, tracing her family’s ascent from segregation to her confirmation on America’s highest court within the span of one generation. Named “Ketanji Onyika,” meaning “Lovely One,” based on a suggestion from her aunt, a Peace Corps worker stationed in West Africa, Justice Jackson learned from her educator parents to take pride in her heritage since birth. She describes her resolve as a young girl to honor this legacy and realize her dreams: from hearing stories of her grandparents and parents breaking barriers in the segregated South, to honing her voice in high school as an oratory champion and student body president, to graduating magna cum laude from Harvard, where she performed in musical theater and improv and participated in pivotal student organizations. Here, Justice Jackson pulls back the curtain, marrying the public record of her life with what is less known. She reveals what it takes to advance in the legal profession when most people in power don’t look like you, and to reconcile a demanding career with the joys and sacrifices of marriage and motherhood. Through trials and triumphs, Justice Jackson’s journey will resonate with dreamers everywhere, especially those who nourish outsized ambitions and refuse to be turned aside. This moving, openhearted tale will spread hope for a more just world, for generations to come.",Note non disponible,2024-09-03,Biography & Autobiography
Blind Spots,"Marty Makary, M.D.","From Johns Hopkins medical expert Dr. Marty Makary, the New York Times-bestselling author of The Price We Pay-an eye-opening look at the medical groupthink that has led to public harm, and what you need to know about your health.",Note non disponible,2024-09-17,Health & Fitness
Who Could Ever Love You,"Mary L. Trump, PhD","A New York Times Nonfiction Book to Read this Fall A People Magazine Best Book of September The Week Five Riveting Books to Take You Through September Who Could Ever Love You is an intimate, heartbreaking memoir of a father, a mother, and a family’s exile. Mary Trump grew up in a family divided by its patriarch’s relentless drive for money and power. The daughter of Freddy Trump, the highly accomplished, dashing eldest son of wealthy real estate developer Fred Trump, and Linda Clapp, a flight attendant from a working-class family, Mary lived in the shadow of Freddy’s humiliation at the hands of his father. Fred Trump embodied the ethos of the zero-sum game and among his five children, there could only be one winner. That was supposed to be Freddy, his namesake, but Fred found him wanting—too sensitive, too kind, too interested in pursuits beyond the realm of the real estate empire he was meant to inherit. In Donald, Fred found a kindred spirit, a “killer,” who would stop at nothing to get his own way. Even after Freddy’s short-lived career as a professional pilot for TWA came to an end, he never stopped trying to gain his father’s approval. Finally, at the age of forty-two, he succumbed to Fred’s lethal contempt and died alone in an emergency room, with no family by his side. In WHO COULD EVER LOVE YOU, Mary Trump brings us inside the twisted family whose patriarch ignored, froze out, and eventually destroyed his own. Freddy Trump’s decline into alcoholism and illness, along with Linda’s suffering after their divorce, left Mary dangerously vulnerable as a very young girl. Inadequately and only conditionally loved, there were no adults in her life except for the father she loved, but lost before she could know him; and a mother abandoned by her ex-husband’s rich and powerful family who demanded her loyalty but left her with nothing. With searching insight, poignant detail, and unsparing prose, Mary Trump reveals the cold, selfish cruelty that has come to define the Trump family thanks in large part to her uncle, whose malignant ambition has riven our nation and threatens the world.",Note non disponible,2024-09-10,Biography & Autobiography
