title,authors,description,published_date,categories,goodreads_rating
No Plan B,"Lee Child, Andrew Child","READ A FREE PREVIEW OF THE EDGE-OF-YOUR-SEAT, HEART-IN-MOUTH NEW JACK REACHER THRILLER Gerrardsville, Colorado. One tragic event. Two witnesses. Two conflicting accounts. One witness sees a woman throw herself in front of a bus - clearly suicide. The other witness is Jack Reacher. And he sees what really happened - a man in grey hoodie and jeans, swift and silent as a shadow, pushed the victim to her death, before grabbing her bag and sauntering away. Reacher follows the killer on foot, not knowing that this was no random act of violence. It is part of something much bigger...a sinister, secret conspiracy, with powerful people on the take, enmeshed in an elaborate plot that leaves no room for error. If any step is compromised, the threat will have to be quickly and permanently removed. But when the threat is Reacher, there is No Plan B... ______ Read the first two chapters for free - perfect for your next coffee break!",2022-05-12,Fiction,3.98
Babel,R. F. Kuang,"Instant #1 New York Times Bestseller from the author of The Poppy War “Absolutely phenomenal. One of the most brilliant, razor-sharp books I've had the pleasure of reading that isn't just an alternative fantastical history, but an interrogative one; one that grabs colonial history and the Industrial Revolution, turns it over, and shakes it out.” -- Shannon Chakraborty, bestselling author of The City of Brass From award-winning author R. F. Kuang comes Babel, a thematic response to The Secret History and a tonal retort to Jonathan Strange & Mr. Norrell that grapples with student revolutions, colonial resistance, and the use of language and translation as the dominating tool of the British empire. Traduttore, traditore: An act of translation is always an act of betrayal. 1828. Robin Swift, orphaned by cholera in Canton, is brought to London by the mysterious Professor Lovell. There, he trains for years in Latin, Ancient Greek, and Chinese, all in preparation for the day he’ll enroll in Oxford University’s prestigious Royal Institute of Translation—also known as Babel. Babel is the world's center for translation and, more importantly, magic. Silver working—the art of manifesting the meaning lost in translation using enchanted silver bars—has made the British unparalleled in power, as its knowledge serves the Empire’s quest for colonization. For Robin, Oxford is a utopia dedicated to the pursuit of knowledge. But knowledge obeys power, and as a Chinese boy raised in Britain, Robin realizes serving Babel means betraying his motherland. As his studies progress, Robin finds himself caught between Babel and the shadowy Hermes Society, an organization dedicated to stopping imperial expansion. When Britain pursues an unjust war with China over silver and opium, Robin must decide… Can powerful institutions be changed from within, or does revolution always require violence?",2022-08-23,Fiction,4.18
The Light We Carry,Michelle Obama,"#1 NEW YORK TIMES AND USA TODAY BESTSELLER • In an inspiring follow-up to her acclaimed memoir Becoming, former First Lady Michelle Obama shares practical wisdom and powerful strategies for staying hopeful and balanced in today’s highly uncertain world. There may be no tidy solutions or pithy answers to life’s big challenges, but Michelle Obama believes that we can all locate and lean on a set of tools to help us better navigate change and remain steady within flux. In The Light We Carry, she opens a frank and honest dialogue with readers, considering the questions many of us wrestle with: How do we build enduring and honest relationships? How can we discover strength and community inside our differences? What tools do we use to address feelings of self-doubt or helplessness? What do we do when it all starts to feel like too much? Michelle Obama offers readers a series of fresh stories and insightful reflections on change, challenge, and power, including her belief that when we light up for others, we can illuminate the richness and potential of the world around us, discovering deeper truths and new pathways for progress. Drawing from her experiences as a mother, daughter, spouse, friend, and First Lady, she shares the habits and principles she has developed to successfully adapt to change and overcome various obstacles—the earned wisdom that helps her continue to “become.” She details her most valuable practices, like “starting kind,” “going high,” and assembling a “kitchen table” of trusted friends and mentors. With trademark humor, candor, and compassion, she also explores issues connected to race, gender, and visibility, encouraging readers to work through fear, find strength in community, and live with boldness. “When we are able to recognize our own light, we become empowered to use it,” writes Michelle Obama. A rewarding blend of powerful stories and profound advice that will ignite conversation, The Light We Carry inspires readers to examine their own lives, identify their sources of gladness, and connect meaningfully in a turbulent world.",2022-11-15,Self-Help,4.26
I'm Glad My Mom Died,Jennette McCurdy,A memoir by American former actress and singer Jennette McCurdy about her career as a child actress and her difficult relationship with her abusive mother who died in 2013,2022-08-09,Biography & Autobiography,4.46
"Friends, Lovers and the Big Terrible Thing",Matthew Perry,"'There's never been a more honest or raw memoir . . . and it may just save lives' Daily Mail 'Funny, fascinating, compelling . . . also a wonderful read for fans of Friends' The Times 'HI, MY NAME IS MATTHEW, although you may know me by my full name. My friends call me Matty.' So begins the riveting story of acclaimed actor Matthew Perry, taking us along on his journey from childhood ambition to fame to addiction and recovery in the aftermath of a life-threatening health scare. Before the frequent hospital visits and stints in rehab, there was five-year-old Matthew, who travelled from Montreal to Los Angeles, shuffling between his separated parents; fourteen-year-old Matthew, who was a nationally ranked tennis star in Canada; twenty-four-year-old Matthew, who nabbed a coveted role as a lead cast member on the talked-about pilot then called Friends Like Us . . . and so much more. In an extraordinary story that only he could tell - and in the heartfelt, hilarious, and warmly familiar way only he could tell it - Matthew Perry lays bare the fractured family that raised him (and also left him to his own devices), the desire for recognition that drove him to fame, and the void inside him that could not be filled even by his greatest dreams coming true. But he also details the peace he's found in sobriety and how he feels about the ubiquity of Friends, sharing stories about his castmates and other stars he met along the way. Frank, self-aware, and with his trademark humour, Perry vividly depicts his lifelong battle with addiction and what fuelled it despite seemingly having it all. 'An unflinching and often harrowing must-read for 90s pop culture fans' Guardian 'Written with Chandler's trademark sarcasm and self-deprecation' Telegraph 'A hopeful read . . . I started to think of [it] not as a celebrity memoir about addiction, but as an addiction memoir written by a man who understands his own history through the prism of showbiz' Independent",2022-11-01,Biography & Autobiography,3.93
Surrender,Bono,Description non disponible,2022,Catégorie non disponible,4.18
The Revolutionary: Samuel Adams,Stacy Schiff,"This ""glorious"" revelatory biography from a Pulitzer Prize winner is about the most essential Founding Father (Ron Chernow)—the one who stood behind the change in thinking that produced the American Revolution. Thomas Jefferson asserted that if there was any leader of the Revolution, “Samuel Adams was the man.” With high-minded ideals and bare-knuckle tactics, Adams led what could be called the greatest campaign of civil resistance in American history. Stacy Schiff returns Adams to his seat of glory, introducing us to the shrewd and eloquent man who supplied the moral backbone of the American Revolution. A singular figure at a singular moment, Adams amplified the Boston Massacre. He helped to mastermind the Boston Tea Party. He employed every tool available to rally a town, a colony, and eventually a band of colonies behind him, creating the cause that created a country. For his efforts he became the most wanted man in America: When Paul Revere rode to Lexington in 1775, it was to warn Samuel Adams that he was about to be arrested for treason. In The Revolutionary: Samuel Adams, Schiff brings her masterful skills to Adams’s improbable life, illuminating his transformation from aimless son of a well-off family to tireless, beguiling radical who mobilized the colonies. Arresting, original, and deliriously dramatic, this is a long-overdue chapter in the history of our nation. ONE OF WALL STREET JOURNAL'S 10 BEST BOOKS OF 2022 ONE OF LOS ANGELES TIMES TOP 5 NONFICTION BOOKS OF 2022 ONE OF THE NEW YORK TIMES MOST NOTABLE BOOKS OF 2022 ONE OF BARACK OBAMA'S FAVORITE BOOKS OF 2022 And named one of the BEST BOOKS OF 2022 by The New Yorker, TIME, Oprah Daily, USA Today, New York Magazine, Air Mail, Boston Globe, and more! ""A glorious book that is as entertaining as it is vitally important.” —Ron Chernow ""A beautifully crafted, invaluable biography…Schiff ingeniously connects the past to our present and future, underscoring the lessons of Adams while reclaiming our nation’s self-evident truths at a moment when we seemed to have forgotten them."" —Oprah Daily",2022-10-25,Biography & Autobiography,3.82
And There Was Light,Jon Meacham,"NEW YORK TIMES BESTSELLER • Pulitzer Prize–winning biographer Jon Meacham chronicles the life of Abraham Lincoln, charting how—and why—he confronted secession, threats to democracy, and the tragedy of slavery to expand the possibilities of America. “Meacham has given us the Lincoln for our time.”—Henry Louis Gates, Jr. Winner of the Gilder Lehrman Lincoln Prize • Longlisted for the Biographers International Plutarch Award • One of the Best Books of the Year: The Christian Science Monitor, Kirkus Reviews A president who governed a divided country has much to teach us in a twenty-first-century moment of polarization and political crisis. Hated and hailed, excoriated and revered, Abraham Lincoln was at the pinnacle of American power when implacable secessionists gave no quarter in a clash of visions bound up with money, race, identity, and faith. In him we can see the possibilities of the presidency as well as its limitations. At once familiar and elusive, Lincoln tends to be seen as the greatest of American presidents—a remote icon—or as a politician driven more by calculation than by conviction. This illuminating new portrait gives us a very human Lincoln—an imperfect man whose moral antislavery commitment, essential to the story of justice in America, began as he grew up in an antislavery Baptist community; who insisted that slavery was a moral evil; and who sought, as he put it, to do right as God gave him to see the right. This book tells the story of Lincoln from his birth on the Kentucky frontier in 1809 to his leadership during the Civil War to his tragic assassination in 1865: his rise, his self-education, his loves, his bouts of depression, his political failures, his deepening faith, and his persistent conviction that slavery must end. In a nation shaped by the courage of the enslaved of the era and by the brave witness of Black Americans, Lincoln’s story illustrates the ways and means of politics in a democracy, the roots and durability of racism, and the capacity of conscience to shape events.",2022-10-18,Biography & Autobiography,3.67
What If? 2,Randall Munroe,"AN INSTANT NEW YORK TIMES BESTSELLER! ""The questions throughout What If? 2 are equal parts brilliant, gross, and wonderfully absurd and the answers are thorough, deeply researched, and great fun. . . . Science isn’t easy, but in Munroe’s capable hands, it surely can be fun."" —TIME The #1 New York Times bestselling author of What If? and How To answers more of the weirdest questions you never thought to ask The millions of people around the world who read and loved What If? still have questions, and those questions are getting stranger. Thank goodness xkcd creator Randall Munroe is here to help. Planning to ride a fire pole from the Moon back to Earth? The hardest part is sticking the landing. Hoping to cool the atmosphere by opening everyone’s freezer door at the same time? Maybe it’s time for a brief introduction to thermodynamics. Want to know what would happen if you rode a helicopter blade, built a billion-story building, made a lava lamp out of lava, or jumped on a geyser as it erupted? Okay, if you insist. Before you go on a cosmic road trip, feed the residents of New York City to a T. rex, or fill every church with bananas, be sure to consult this practical guide for impractical ideas. Unfazed by absurdity, Munroe consults the latest research on everything from swing-set physics to airliner catapult–design to answer his readers’ questions, clearly and concisely, with illuminating and occasionally terrifying illustrations. As he consistently demonstrates, you can learn a lot from examining how the world might work in very specific extreme circumstances.",2022-09-13,Humor,3.79
The Philosophy of Modern Song,Bob Dylan,"The Philosophy of Modern Song is Bob Dylan’s first book of new writing since 2004’s Chronicles: Volume One — and since winning the Nobel Prize for Literature in 2016. Dylan, who began working on the book in 2010, offers his extraordinary insight into the nature of popular music. He writes over 60 essays focusing on songs by other artists, spanning from Stephen Foster to Elvis Costello, and in between ranging from Hank Williams to Nina Simone. He analyses what he calls the trap of easy rhymes, breaks down how the addition of a single syllable can diminish a song and even explains how bluegrass relates to heavy metal. These essays are written in Dylan’s unique prose. They are mysterious and mercurial, poignant and profound, and often laugh-out-loud funny. And while they are ostensibly about music, they are really meditations and reflections on the human condition. Running throughout the book are nearly 150 carefully curated photos as well as a series of dream-like riffs that, taken together, resemble an epic poem and add to the work’s transcendence. In 2020, with the release of his outstanding album Rough and Rowdy Ways, Dylan became the first artist to have an album hit the Billboard Top 40 in each decade since the 1960s. The Philosophy of Modern Song contains much of what he has learned about his craft in all those years and, like everything that Dylan does, it is a momentous artistic achievement.",2022-11-01,Biography & Autobiography,3.00
The Song of the Cell,Siddhartha Mukherjee,"**A NEW YORK TIMES, DAILY TELEGRAPH, ECONOMIST, MAIL ON SUNDAY and GUARDIAN BOOK OF THE YEAR** From the dawn of life itself, every being that has ever lived owes its existence to the cell. 'Will leave you in awe' Guardian The discovery of this vital form led to a transformation in medicine but also in our understanding of ourselves - not as bodies or machines but as ecosystems. It has also given us the power to treat a vast array of mortal maladies...and even to create new kinds of human altogether. Rich with stories of scientists, doctors and the patients whose lives may be saved by their work, The Song of the Cell is a stunning ode to the building blocks of life and the cutting-edge science harnessing their power for the better. 'Profound...As big a topic as life itself' The Times 'Medical magic' Daily Telegraph 'Vast...important...optimistic' Mail on Sunday",2022-11-03,Science,3.83
Radio's Greatest of All Time,Rush Limbaugh,"#1 NEW YORK TIMES BESTSELLER A collection of Rush Limbaugh’s greatest on-air moments, with special commentary and personal stories from his beloved widow, Kathryn Limbaugh, and brother, David Limbaugh. For more than thirty years, millions of listeners tuned in to hear Rush Limbaugh’s voice. At its peak, The Rush Limbaugh Show aired on more than 650 radio stations nationwide, and his inimitable commentary and distinctive sense of humor garnered a devoted audience that celebrated with him when he received the Presidential Medal of Freedom in 2020. Rush’s passing the following year sent shock waves through the conservative and broadcasting communities. In this timeless collection of his best work, his triumphant legacy as the greatest voice for conservatism is cemented in history. When Rush’s dear friend Vince Flynn first suggested the idea of this book, Rush considered the task daunting. “How can I possibly select the best of the best,” he joked, “from all the years of pure genius?” Over time, Rush came to love this project immensely, and recalled incredible details from his childhood and early career. Featuring commentary from loved ones, family, friends, and prominent figures such as President Donald Trump, Supreme Court Justice Clarence Thomas, Governor Ron DeSantis, and more, Radio’s Greatest of All Time is the ultimate gift for any devoted listener and leaves no doubt about his profound impact on this country.",2022-10-25,Political Science,3.86
A Book of Days,Patti Smith,"NEW YORK TIMES BESTSELLER • A deeply moving and brilliantly idiosyncratic visual book of days by the National Book Award–winning author of Just Kids and M Train, featuring more than 365 images and reflections that chart Smith’s singular aesthetic—inspired by her wildly popular Instagram. ONE OF THE BEST BOOKS OF THE YEAR: Variety, Pitchfork, PopSugar In 2018, without any plan or agenda for what might happen next, Patti Smith posted her first Instagram photo: her hand with the simple message “Hello Everybody!” Known for shooting with her beloved Land Camera 250, Smith started posting images from her phone including portraits of her kids, her radiator, her boots, and her Abyssinian cat, Cairo. Followers felt an immediate affinity with these miniature windows into Smith’s world, photographs of her daily coffee, the books she’s reading, the graves of beloved heroes—William Blake, Dylan Thomas, Sylvia Plath, Simone Weil, Albert Camus. Over time, a coherent story of a life devoted to art took shape, and more than a million followers responded to Smith’s unique aesthetic in images that chart her passions, devotions, obsessions, and whims. Original to this book are vintage photographs: anniversary pearls, a mother’s keychain, and a husband’s Mosrite guitar. Here, too, are photos from Smith’s archives of life on and off the road, train stations, obscure cafés, a notebook always nearby. In wide-ranging yet intimate daily notations, Smith shares dispatches from her travels around the world. With over 365 photographs taking you through a single year, A Book of Days is a new way to experience the expansive mind of the visionary poet, writer, and performer. Hopeful, elegiac, playful—and complete with an introduction by Smith that explores her documentary process—A Book of Days is a timeless offering for deeply uncertain times, an inspirational map of an artist’s life.",2022-11-15,Literary Collections,4.00
Starry Messenger,Neil deGrasse Tyson,"NEW YORK TIMES BESTSELLER Bringing his cosmic perspective to civilization on Earth, Neil deGrasse Tyson shines new light on the crucial fault lines of our time—war, politics, religion, truth, beauty, gender, and race—in a way that stimulates a deeper sense of unity for us all. In a time when our political and cultural views feel more polarized than ever, Tyson provides a much-needed antidote to so much of what divides us, while making a passionate case for the twin chariots of enlightenment—a cosmic perspective and the rationality of science. After thinking deeply about how science sees the world and about Earth as a planet, the human brain has the capacity to reset and recalibrates life’s priorities, shaping the actions we might take in response. No outlook on culture, society, or civilization remains untouched. With crystalline prose, Starry Messenger walks us through the scientific palette that sees and paints the world differently. From insights on resolving global conflict to reminders of how precious it is to be alive, Tyson reveals, with warmth and eloquence, an array of brilliant and beautiful truths that apply to us all, informed and enlightened by knowledge of our place in the universe.",2022-09-20,Science,5.00
Cinema Speculation,Quentin Tarantino,"A unique cocktail of personal memoir, cultural criticism and Hollywood history by the one and only Quentin Tarantino. The long-awaited first work of nonfiction from the author of the number one New York Times bestselling Once Upon a Time in Hollywood: a deliriously entertaining, wickedly intelligent cinema book as unique and creative as anything by Quentin Tarantino. In addition to being among the most celebrated of contemporary filmmakers, Quentin Tarantino is possibly the most joyously infectious movie lover alive. For years he has touted in interviews his eventual turn to writing books about films. Now, with CINEMA SPECULATION, the time has come, and the results are everything his passionate fans - and all movie lovers - could have hoped for. Organized around key American films from the 1970s, all of which he first saw as a young moviegoer at the time, this book is as intellectually rigorous and insightful as it is rollicking and entertaining. At once film criticism, film theory, a feat of reporting, and wonderful personal history, it is all written in the singular voice recognizable immediately as QT's and with the rare perspective about cinema possible only from one of the greatest practitioners of the artform ever.",2022-11-01,Performing Arts,3.88
Killing the Legends,"Bill O'Reilly, Martin Dugard","In the next book in the multimillion-selling Killing Series, Bill O'Reilly and Martin Dugard tell the larger-than-life stories of Elvis Presley, John Lennon, and Muhammad Ali. The King is dead. The Walrus is shot. The Greatest is no more. Elvis Presley, John Lennon, and Muhammad Ali. These three icons changed not only the worlds of music, film, and sports, but the world itself. Their faces were known everywhere, in every nation, across every culture. And their stories became larger than life—until their lives spun out of control at the hands of those they most trusted. In Killing the Legends, Bill O’Reilly and Martin Dugard explore the lives, legacies, and tragic deaths of three of the most famous people of the 20th century. Each experienced immense success, then failures that forced them to change; each faced the challenge of growing old in fields that privilege youth; and finally, each became isolated, cocooned by wealth but vulnerable to the demands of those in their innermost circles. Dramatic, insightful, and immensely entertaining, Killing the Legends is the twelfth book in O’Reilly and Dugard’s Killing series: the most popular series of narrative history books in the world, with more than 18 million copies in print.",2022-09-27,Biography & Autobiography,3.84
It Starts with Us,Colleen Hoover,"Before It Ends with Us, it started with Atlas. Colleen Hoover tells fan favorite Atlas’s side of the story and shares what comes next in this long-anticipated sequel to the “glorious and touching” (USA TODAY) #1 New York Times bestseller and major motion picture It Ends with Us. Lily and her ex-husband, Ryle, have just settled into a civil coparenting rhythm when she suddenly bumps into her first love, Atlas, again. After nearly two years separated, she is elated that for once, time is on their side, and she immediately says yes when Atlas asks her on a date. But her excitement is quickly hampered by the knowledge that, though they are no longer married, Ryle is still very much a part of her life—and Atlas Corrigan is the one man he will hate being in his ex-wife and daughter’s life. Switching between the perspectives of Lily and Atlas, It Starts with Us picks up right where the epilogue for the “gripping, pulse-pounding” (Sarah Pekkanen, author of Perfect Neighbors) bestselling phenomenon It Ends with Us left off. Revealing more about Atlas’s past and following Lily as she embraces a second chance at true love while navigating a jealous ex-husband, it proves that “no one delivers an emotional read like Colleen Hoover” (Anna Todd, New York Times bestselling author).",2022-10-18,Fiction,3.73
Things We Never Got Over,Lucy Score,"THE NEW YORK TIMES BESTSELLER* THE UNMISSABLE TIKTOK SENSATION* OVER 1.6 MILLION COPIES SOLD WORLDWIDE Grumpy, small-town barber + hopelessly romantic runaway bride = great big bust ups, all the tension and lots of steamy encounters! Escaping her seemingly perfect wedding, Naomi Witt arrives in rough-around-the-edges Knockemout, Virginia, running to the rescue of her estranged twin, Tina. Too bad for Naomi her evil twin hasn't changed at all. After helping herself to Naomi's car and cash, Tina leaves her with something unexpected: the 11-year-old niece she didn't know she had. Now she's stuck in town with no job, no plan, no home and a whole lot of extra responsibility. There's a reason local barber Knox doesn't do complications or high-maintenance women, especially not the romantic ones. But since Naomi's life imploded right in front of him, the least he can do is help her out of her jam. And just as soon as she stops getting into trouble, he can leave her alone and get back to his peaceful, solitary life. At least that's the plan, until their lives begin to entwine in ways they never imagined . . . *New York Times bestseller, 18 weeks from October 2022 - February 2023* *With 78.9 million views on #thingswenevergotover as of April 2023* 'I laughed. I cried. I laughed while I cried, and I definitely blushed' Book Addict",2022-06-23,Fiction,3.11
Book Lovers,Emily Henry,"“One of my favorite authors.”—Colleen Hoover An insightful, delightful, instant #1 New York Times bestseller from the author of Beach Read and People We Meet on Vacation. Named a Most Anticipated Book of 2022 by Oprah Daily ∙ Today ∙ Parade ∙ Marie Claire ∙ Bustle ∙ PopSugar ∙ Katie Couric Media ∙ Book Bub ∙ SheReads ∙ Medium ∙ The Washington Post ∙ and more! One summer. Two rivals. A plot twist they didn't see coming... Nora Stephens' life is books—she’s read them all—and she is not that type of heroine. Not the plucky one, not the laidback dream girl, and especially not the sweetheart. In fact, the only people Nora is a heroine for are her clients, for whom she lands enormous deals as a cutthroat literary agent, and her beloved little sister Libby. Which is why she agrees to go to Sunshine Falls, North Carolina for the month of August when Libby begs her for a sisters’ trip away—with visions of a small town transformation for Nora, who she’s convinced needs to become the heroine in her own story. But instead of picnics in meadows, or run-ins with a handsome country doctor or bulging-forearmed bartender, Nora keeps bumping into Charlie Lastra, a bookish brooding editor from back in the city. It would be a meet-cute if not for the fact that they’ve met many times and it’s never been cute. If Nora knows she’s not an ideal heroine, Charlie knows he’s nobody’s hero, but as they are thrown together again and again—in a series of coincidences no editor worth their salt would allow—what they discover might just unravel the carefully crafted stories they’ve written about themselves.",2022-05-03,Fiction,4.13
Sapiens (édition 2022),Yuval Noah Harari,"Avec une nouvelle préface inédite de l'auteur. « Un prodige. » Le Monde des Livres Il y a 100 000 ans, la Terre était habitée par au moins six espèces différentes d'hominidés. Une seule a survécu. Nous, les Homo Sapiens. Comment notre espèce a-t-elle réussi à dominer la planète ? Pourquoi nos ancêtres ont-ils uni leurs forces pour créer villes et royaumes ? Comment en sommes-nous arrivés à créer les concepts de religion, de nation, de droits de l'homme ? À dépendre de l'argent, des livres et des lois ? À devenir esclaves de la bureaucratie, des horaires, de la consommation de masse ? Et à quoi ressemblera notre monde dans le millénaire à venir ? Véritable phénomène d'édition, traduit dans une trentaine de langues, Sapiens est un livre audacieux, érudit et provocateur. Professeur d'Histoire à l'Université hébraïque de Jérusalem, Yuval Noah Harari mêle l'Histoire à la Science pour remettre en cause tout ce que nous pensions savoir sur l'humanité : nos pensées, nos actes, notre héritage... et notre futur. « Pharaonique. » Télérama « Magistral. » Le JDD",2022-10-19,Social Science,4.36
Faith Still Moves Mountains,Harris Faulkner,"INSTANT #1 NEW YORK TIMES BESTSELLER! From FOX News anchor and author Harris Faulkner comes a collection of powerful, true-life stories of resilience, healing, rescue, and protection. We need reminders of God’s power now more than ever. We often think about prayer as a wish list, with God as Santa Claus. The reality is that the power of prayer reminds us not only how small we are, but also how big God is. Prayer is hope put into action. And prayer works. From the aftermath of the devastating earthquake in Haiti to the theater shooting in Aurora, Colorado, believers testify to how God inspired hope even when all seemed lost. Two teenagers who were saved from treacherous seas by a vessel named Amen now give thanks for the rescue that changed their lives. A woman’s near-death experience with COVID-19 turned out to be the crisis freeing her from despair. Others speak to how prayer helped them navigate family trauma, overcome abuse, and cope with mental illness and depression. Historical accounts of miracles testify to God’s power throughout time, and Faulkner recounts the role of faith and prayer in her own life and the life of her father. Along with these stories of God’s presence, the book includes an exclusive packet of newly written prayers. Created to reflect the current times, this prayer booklet will provide a road map for putting the lessons of these stories into action. Faith Still Moves Mountains reminds us that God’s light always shines through the darkness. Through these testimonies, we learn prayer isn’t just a ritual, it’s a vital spiritual strategy in a world that wants us to give up the fight.",2022-11-15,Religion,3.9
Go-To Dinners,Ina Garten,"#1 NEW YORK TIMES BESTSELLER • America’s favorite home cook presents delicious, crowd-pleasing, go-to recipes that you’ll want to make over and over again! Even Ina Garten, America's most-trusted and beloved home cook, sometimes finds cooking stressful. To make life easy she relies on a repertoire of recipes that she knows will turn out perfectly every time. Cooking night after night during the pandemic inspired her to re-think the way she approached dinner, and the result is this collection of comforting and delicious recipes that you’ll love preparing and serving. You’ll find lots of freeze-ahead, make-ahead, prep-ahead, and simply assembled recipes so you, too, can make dinner a breeze. In Go-To Dinners, Ina shares her strategies for making her most satisfying and uncomplicated dinners. Many, like Overnight Mac & Cheese, you can make ahead and throw in the oven right before dinner. Light dinners like Tuscan White Bean Soup can be prepped ahead and assembled at the last minute. Go-to family meals like Chicken in a Pot with Orzo and Hasselback Kielbasa will feed a crowd with very little effort. And who doesn’t want to eat Breakfast For Dinner? You’ll find recipes for Scrambled Eggs Cacio e Pepe and Roasted Vegetables with Jammy Eggs that are a snap to make and so satisfying. Ina’s “Two-Fers” guide you on how to turn leftovers from one dinner into something different and delicious the second night. And sometimes the best dinner is one you don’t even have to cook! You’ll find Ina’s favorite boards to serve with store-bought ingredients, like an Antipasto Board and Breakfast-for-Dinner Board that are fun to assemble and so impressive to serve. Finally, because no meal can be considered dinner without dessert, there are plenty of prep-ahead and easy sweets like a Bourbon Chocolate Pecan Pie and Beatty’s Chocolate Cupcakes that everyone will rave about. For Ina, “I love you, come for dinner” is more than just an invitation to share a meal, it’s a way to create a community of friends and family who love and take care of each other, and we all need that now more than ever. These go-to recipes will give you the confidence to create dinners that will bring everyone to your table.",2022-10-25,Cooking,4.26
Never Finished,David Goggins,"This is not a self-help book. It’s a wake-up call! Can’t Hurt Me, David Goggins’ smash hit memoir, demonstrated how much untapped ability we all have but was merely an introduction to the power of the mind. In Never Finished, Goggins takes you inside his Mental Lab, where he developed the philosophy, psychology, and strategies that enabled him to learn that what he thought was his limit was only his beginning and that the quest for greatness is unending. The stories and lessons in this raw, revealing, unflinching memoir offer the reader a blueprint they can use to climb from the bottom of the barrel into a whole new stratosphere that once seemed unattainable. Whether you feel off-course in life, are looking to maximize your potential or drain your soul to break through your so-called glass ceiling, this is the only book you will ever need.",2022-12-06,Self-Help,3.84
Half Baked Harvest Every Day,Tieghan Gerard,"#1 NEW YORK TIMES BESTSELLER • More than 120 all-new recipes that will leave everyone feeling good, from crowd-pleasers with a healthier twist to family favorites you can rely on every day—from the author of Half Baked Harvest Super Simple. Balanced. Bold. Beautiful. The millions of fans of the Half Baked Harvest blog and bestselling books have fallen in love with Tieghan Gerard’s recipes for their wholesome decadence, unfussy approach, and smart twists on comforting favorites. Written and photographed in the stunning mountains of Colorado, inspired by her big, unique family, and focused on what you’ll want to eat day-in-day-out, Half Baked Harvest Every Day delivers more than 120 all-new recipes that will feed your body and soul. For Tieghan, feel-good food isn’t about restrictive eating. It’s about enjoying real food with lots of flavor, and the satisfaction of sharing it with those you love. Finding balance is about giving your body and your cravings what they need . . . whether that’s a light, vegetable-packed dish or a big ole plate of something comforting. In this collection, there are plenty of plant-forward favorites, like Chipotle Cheddar Corn Chowder and Spinach and Pesto–Stuffed Butternut Squash. Tieghan also shares flavor-packed family go-tos, like Pizza Pasta with Pepperoni Bread Crumbs, Crispy Carnitas Taquitos, and Spicy Pretzel Chicken Fingers with Hot Honey. And to keep a smile on everyone’s face, you’ll find luscious desserts, like Chocolate Olive Oil Cake and a Lemon Tart with Vanilla Sugar, made with a focus on wholesome, minimally processed ingredients. Whether it’s breakfast, lunch, snack time, dinner, or dessert . . . this book has tried-and-true recipes that will make you feel good about sharing them at your table.",2022-03-29,Cooking,4.39
The Simply Happy Cookbook,"Steve Doocy, Kathy Doocy","NEW YORK TIMES BESTSELLER #1 New York Times bestselling authors Fox & Friends cohost Steve Doocy and his wife, Kathy, share more delightful stories and delicious recipes that are simple and stress-free. What’s better than serving your family food they rave about? Keeping it simple, of course! Sure, there are times when you want to spend all day noodling around in the kitchen, but most days we want more oomph with less effort. In The Simply Happy Cookbook, Steve Doocy and his wife, Kathy, provide more than a hundred recipes for their favorite dishes that are just as comforting to make as they are to eat—using fewer ingredients, simpler preparations, and less time in the kitchen. Just as in their previous two cookbooks, they share family photos and stories along with their recipes, so the time and energy saved in the kitchen can be put toward what’s important—reading charming and funny stories about their family and (sometimes famous) friends. The Doocys offer recipes for every occasion, including appetizers, breakfast, sandwiches, sides, casseroles, slow cooker meals, pasta, pizza, and desserts, so you’re covered no matter what you’re looking to make. Some of their low-effort, all-American comfort dishes include: Maple Bacon Cinnamon Rolls Lasagna Grilled Cheese Sandwich Buffalo Chicken Pot Pie Single Skilled Shrimp and Cheesy Grits Bacon and Burst Tomato Tortellini Pretzel Crust Chocolate Peanut Butter Pie Perfect for low-stress solo dinner prep, or for luring the cooking-averse into the kitchen to create happy memories around more than just the dinner table, The Simply Happy Cookbook is sure to please.",2022-09-13,Cooking,4.03
